zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"mstable.org.","NS","org.","ns-cloud-e1.googledomains.com."
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"mstable.org.","NS","org.","ns-cloud-e2.googledomains.com."
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"mstable.org.","NS","org.","ns-cloud-e3.googledomains.com."
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"mstable.org.","NS","org.","ns-cloud-e4.googledomains.com."
,,"2019-05-08 03:30:28","2024-07-09 04:22:56",10302,"mstable.org.","A","mstable.org.","216.239.32.21"
,,"2019-05-08 03:30:28","2024-07-09 04:22:56",10302,"mstable.org.","A","mstable.org.","216.239.34.21"
,,"2019-05-08 03:30:28","2024-07-09 04:22:56",10302,"mstable.org.","A","mstable.org.","216.239.36.21"
,,"2019-05-08 03:30:28","2024-07-09 04:22:56",10302,"mstable.org.","A","mstable.org.","216.239.38.21"
,,"2019-07-06 08:48:20","2024-07-09 04:22:56",76477,"mstable.org.","NS","org.","ns-cloud-e1.googledomains.com."
,,"2019-07-06 08:48:20","2024-07-09 04:22:56",76477,"mstable.org.","NS","org.","ns-cloud-e2.googledomains.com."
,,"2019-07-06 08:48:20","2024-07-09 04:22:56",76477,"mstable.org.","NS","org.","ns-cloud-e3.googledomains.com."
,,"2019-07-06 08:48:20","2024-07-09 04:22:56",76477,"mstable.org.","NS","org.","ns-cloud-e4.googledomains.com."
,,"2024-06-19 19:52:42","2024-07-09 04:22:56",120,"mstable.org.","SOA","mstable.org.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 66 21600 3600 259200 300"
,,"2019-05-11 15:16:12","2024-07-09 04:22:56",6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:32::15"
,,"2019-05-11 15:16:12","2024-07-09 04:22:56",6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:34::15"
,,"2019-05-11 15:16:12","2024-07-09 04:22:56",6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:36::15"
,,"2019-05-11 15:16:12","2024-07-09 04:22:56",6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:38::15"
