zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"muuu.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"muuu.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"muuu.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"muuu.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2022-04-26 15:59:19","2024-07-11 21:58:04",1391,"muuu.finance.","A","muuu.finance.","76.76.21.21"
,,"2023-01-27 01:47:34","2024-07-12 20:10:48",2664,"muuu.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,"2023-01-27 01:47:34","2024-07-12 20:10:48",2664,"muuu.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,"2023-01-27 01:47:34","2024-07-12 20:10:48",2664,"muuu.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,"2023-01-27 01:47:34","2024-07-12 20:10:48",2664,"muuu.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2023-01-30 07:45:42","2024-07-05 00:35:25",76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b1.googledomains.com."
,,"2023-01-30 07:45:42","2024-07-05 00:35:25",76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b2.googledomains.com."
,,"2023-01-30 07:45:42","2024-07-05 00:35:25",76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b3.googledomains.com."
,,"2023-01-30 07:45:42","2024-07-05 00:35:25",76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b4.googledomains.com."
,,"2024-06-07 10:12:19","2024-07-11 21:58:04",60,"muuu.finance.","SOA","muuu.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 5 21600 3600 259200 300"
,,"2022-04-26 16:02:11","2024-07-10 03:38:48",63,"muuu.finance.","MX","muuu.finance.","1 aspmx.l.google.com."
,,"2022-04-26 16:02:11","2024-07-10 03:38:48",63,"muuu.finance.","MX","muuu.finance.","5 alt1.aspmx.l.google.com."
,,"2022-04-26 16:02:11","2024-07-10 03:38:48",63,"muuu.finance.","MX","muuu.finance.","5 alt2.aspmx.l.google.com."
,,"2022-04-26 16:02:11","2024-07-10 03:38:48",63,"muuu.finance.","MX","muuu.finance.","10 alt3.aspmx.l.google.com."
,,"2022-04-26 16:02:11","2024-07-10 03:38:48",63,"muuu.finance.","MX","muuu.finance.","10 alt4.aspmx.l.google.com."
