zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"near.org.","NS","org.","ns-cloud-b1.googledomains.com."
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"near.org.","NS","org.","ns-cloud-b2.googledomains.com."
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"near.org.","NS","org.","ns-cloud-b3.googledomains.com."
"2019-12-01 23:47:00","2024-07-11 23:09:27",,,1139,"near.org.","NS","org.","ns-cloud-b4.googledomains.com."
,,"2023-04-25 00:09:06","2024-07-12 23:59:50",83386,"near.org.","A","near.org.","76.76.21.21"
,,"2019-03-08 04:21:08","2024-07-12 23:43:24",2484059,"near.org.","NS","org.","ns-cloud-b1.googledomains.com."
,,"2019-03-08 04:21:08","2024-07-12 23:43:24",2484059,"near.org.","NS","org.","ns-cloud-b2.googledomains.com."
,,"2019-03-08 04:21:08","2024-07-12 23:43:24",2484059,"near.org.","NS","org.","ns-cloud-b3.googledomains.com."
,,"2019-03-08 04:21:08","2024-07-12 23:43:24",2484059,"near.org.","NS","org.","ns-cloud-b4.googledomains.com."
,,"2019-03-08 04:21:06","2024-07-11 18:00:13",4839,"near.org.","NS","near.org.","ns-cloud-b1.googledomains.com."
,,"2019-03-08 04:21:06","2024-07-11 18:00:13",4839,"near.org.","NS","near.org.","ns-cloud-b2.googledomains.com."
,,"2019-03-08 04:21:06","2024-07-11 18:00:13",4839,"near.org.","NS","near.org.","ns-cloud-b3.googledomains.com."
,,"2019-03-08 04:21:06","2024-07-11 18:00:13",4839,"near.org.","NS","near.org.","ns-cloud-b4.googledomains.com."
,,"2024-06-16 03:40:53","2024-07-12 17:14:52",496181,"near.org.","SOA","near.org.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 453 21600 3600 259200 300"
,,"2024-07-11 13:15:34","2024-07-11 13:15:34",1,"near.org.","MX","near.org.","10 mx.zoho.eu."
,,"2024-07-11 13:15:34","2024-07-11 13:15:34",1,"near.org.","MX","near.org.","20 mx2.zoho.eu."
,,"2024-07-11 13:15:34","2024-07-11 13:15:34",1,"near.org.","MX","near.org.","50 mx3.zoho.eu."
,,"2020-04-29 22:07:17","2024-07-13 04:26:00",1703,"near.org.","MX","near.org.","10 aspmx.l.google.com."
,,"2020-04-29 22:07:17","2024-07-13 04:26:00",1703,"near.org.","MX","near.org.","10 aspmx2.googlemail.com."
,,"2020-04-29 22:07:17","2024-07-13 04:26:00",1703,"near.org.","MX","near.org.","10 aspmx3.googlemail.com."
,,"2020-04-29 22:07:17","2024-07-13 04:26:00",1703,"near.org.","MX","near.org.","10 alt1.aspmx.l.google.com."
,,"2020-04-29 22:07:17","2024-07-13 04:26:00",1703,"near.org.","MX","near.org.","10 alt2.aspmx.l.google.com."
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"11705AE39E\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"MS=ms58296365\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"firebase=near-fastauth-prod\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"firebase=pagoda-oboarding-dev\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"ZOOM_verify_nyqc71LEk3M7osSupR2iAg\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"v=spf1 include:_spf.google.com ~all\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"v=spf1 include:_spf.firebasemail.com ~all\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"docusign=c9682d28-029c-4732-91af-79ff89ce583b\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"airtable-verification=791df4e56c51602a6455772c164502e1\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"knowbe4-site-verification=d12beda41529af4f156c57cd5cb851f5\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"miro-verification=0b44ddf2b3b7680dad19996edf6684f5f1701ea8\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"google-site-verification=6ffovOmHVTm-4vkK5dLfrB7tF9zBPv-RzTwI53FLazU\""
,,"2024-01-26 05:33:23","2024-07-10 05:18:18",20,"near.org.","TXT","near.org.","\"atlassian-domain-verification=lJhJEaavNaAd7TO764wCu4sGUx3xEXIjd4dMLNzWiq1wpmJypabadKoA2E8lp7rD\""
