zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-01-15 00:12:49","2024-07-12 00:08:40",,,543,"nftearth.exchange.","NS","exchange.","jack.ns.cloudflare.com."
"2023-01-15 00:12:49","2024-07-12 00:08:40",,,543,"nftearth.exchange.","NS","exchange.","bonnie.ns.cloudflare.com."
,,"2023-04-13 08:30:23","2024-07-12 18:23:48",1826,"nftearth.exchange.","A","nftearth.exchange.","104.21.54.189"
,,"2023-04-13 08:30:23","2024-07-12 18:23:48",1826,"nftearth.exchange.","A","nftearth.exchange.","172.67.141.70"
,,"2023-08-08 17:18:46","2024-07-08 11:03:34",69,"nftearth.exchange.","A","nftearth.exchange.","188.114.96.0"
,,"2023-08-08 17:18:46","2024-07-08 11:03:34",69,"nftearth.exchange.","A","nftearth.exchange.","188.114.97.0"
,,"2023-04-14 12:26:40","2024-07-12 21:35:43",100,"nftearth.exchange.","A","nftearth.exchange.","188.114.96.3"
,,"2023-04-14 12:26:40","2024-07-12 21:35:43",100,"nftearth.exchange.","A","nftearth.exchange.","188.114.97.3"
,,"2023-01-14 18:38:03","2024-07-13 06:28:03",11043,"nftearth.exchange.","NS","exchange.","jack.ns.cloudflare.com."
,,"2023-01-14 18:38:03","2024-07-13 06:28:03",11043,"nftearth.exchange.","NS","exchange.","bonnie.ns.cloudflare.com."
,,"2023-02-21 10:29:28","2024-07-12 10:03:42",182,"nftearth.exchange.","NS","nftearth.exchange.","jack.ns.cloudflare.com."
,,"2023-02-21 10:29:28","2024-07-12 10:03:42",182,"nftearth.exchange.","NS","nftearth.exchange.","bonnie.ns.cloudflare.com."
,,"2024-06-30 03:02:52","2024-07-04 00:36:23",6,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2345108784 10000 2400 604800 1800"
,,"2024-07-04 01:48:31","2024-07-04 02:20:27",12,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2345539999 10000 2400 604800 1800"
,,"2024-07-05 21:17:28","2024-07-09 10:23:04",14,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2345576335 10000 2400 604800 1800"
,,"2024-07-10 16:05:45","2024-07-13 07:46:59",6,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2346021494 10000 2400 604800 1800"
,,"2024-07-06 22:06:18","2024-07-06 22:06:18",2,"nftearth.exchange.","HINFO","nftearth.exchange.","\"RFC8482\" \"\""
,,"2023-09-21 11:00:19","2024-07-06 22:06:20",35,"nftearth.exchange.","MX","nftearth.exchange.","10 mail.protonmail.ch."
,,"2023-09-21 11:00:19","2024-07-06 22:06:20",35,"nftearth.exchange.","MX","nftearth.exchange.","20 mailsec.protonmail.ch."
,,"2023-04-13 10:04:45","2024-07-12 18:23:48",801,"nftearth.exchange.","AAAA","nftearth.exchange.","2606:4700:3033::ac43:8d46"
,,"2023-04-13 10:04:45","2024-07-12 18:23:48",801,"nftearth.exchange.","AAAA","nftearth.exchange.","2606:4700:3036::6815:36bd"
,,"2023-05-24 14:29:04","2024-07-08 01:08:13",587,"nftearth.exchange.","HTTPS","nftearth.exchange.","1 . alpn=\"h3,h2\" ipv4hint=104.21.54.189,172.67.141.70 ipv6hint=2606:4700:3033::ac43:8d46,2606:4700:3036::6815:36bd"
