zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-08-09 00:06:22","2024-07-11 23:58:12",,,703,"nirvana.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
"2022-08-09 00:06:22","2024-07-11 23:58:12",,,703,"nirvana.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
"2022-08-09 00:06:22","2024-07-11 23:58:12",,,703,"nirvana.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
"2022-08-09 00:06:22","2024-07-11 23:58:12",,,703,"nirvana.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2022-07-07 14:51:23","2024-07-12 05:03:51",1370,"nirvana.finance.","A","nirvana.finance.","75.2.70.75"
,,"2022-07-07 14:51:23","2024-07-12 05:03:51",1370,"nirvana.finance.","A","nirvana.finance.","99.83.190.102"
,,"2022-08-09 08:08:16","2024-07-12 12:03:39",7369,"nirvana.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,"2022-08-09 08:08:16","2024-07-12 12:03:39",7369,"nirvana.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,"2022-08-09 08:08:16","2024-07-12 12:03:39",7369,"nirvana.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,"2022-08-09 08:08:16","2024-07-12 12:03:39",7369,"nirvana.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2022-09-03 15:26:45","2024-07-11 00:50:23",97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b1.googledomains.com."
,,"2022-09-03 15:26:45","2024-07-11 00:50:23",97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b2.googledomains.com."
,,"2022-09-03 15:26:45","2024-07-11 00:50:23",97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b3.googledomains.com."
,,"2022-09-03 15:26:45","2024-07-11 00:50:23",97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b4.googledomains.com."
,,"2024-04-11 10:48:14","2024-07-12 12:54:54",119,"nirvana.finance.","SOA","nirvana.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 4 21600 3600 259200 300"
,,"2022-04-25 07:45:22","2024-07-09 06:17:10",98,"nirvana.finance.","MX","nirvana.finance.","1 aspmx.l.google.com."
,,"2022-04-25 07:45:22","2024-07-09 06:17:10",98,"nirvana.finance.","MX","nirvana.finance.","5 alt1.aspmx.l.google.com."
,,"2022-04-25 07:45:22","2024-07-09 06:17:10",98,"nirvana.finance.","MX","nirvana.finance.","5 alt2.aspmx.l.google.com."
,,"2022-04-25 07:45:22","2024-07-09 06:17:10",98,"nirvana.finance.","MX","nirvana.finance.","10 alt3.aspmx.l.google.com."
,,"2022-04-25 07:45:22","2024-07-09 06:17:10",98,"nirvana.finance.","MX","nirvana.finance.","10 alt4.aspmx.l.google.com."
,,"2022-07-07 14:53:06","2024-07-07 15:29:14",25,"nirvana.finance.","TXT","nirvana.finance.","\"proxy-ssl.webflow.com\""
,,"2022-07-07 14:53:06","2024-07-07 15:29:14",25,"nirvana.finance.","TXT","nirvana.finance.","\"google-site-verification=fI6W44SXGd827OKavvxJwRflSIPRtk4NArM4v2s-LRs\""
