zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-07-27 00:03:18","2024-07-11 23:58:12",,,715,"nostra.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
"2022-07-27 00:03:18","2024-07-11 23:58:12",,,715,"nostra.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
"2022-07-27 00:03:18","2024-07-11 23:58:12",,,715,"nostra.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
"2022-07-27 00:03:18","2024-07-11 23:58:12",,,715,"nostra.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,"2022-08-12 14:19:30","2024-07-12 18:56:32",10853,"nostra.finance.","A","nostra.finance.","199.36.158.100"
,,"2024-07-12 14:04:50","2024-07-13 07:44:59",1741,"nostra.finance.","NS","finance.","ns-434.awsdns-54.com."
,,"2024-07-12 14:04:50","2024-07-13 07:44:59",1741,"nostra.finance.","NS","finance.","ns-877.awsdns-45.net."
,,"2024-07-12 14:04:50","2024-07-13 07:44:59",1741,"nostra.finance.","NS","finance.","ns-1035.awsdns-01.org."
,,"2024-07-12 14:04:50","2024-07-13 07:44:59",1741,"nostra.finance.","NS","finance.","ns-1793.awsdns-32.co.uk."
,,"2022-08-02 13:41:56","2024-07-12 13:59:49",359764,"nostra.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,"2022-08-02 13:41:56","2024-07-12 13:59:49",359764,"nostra.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,"2022-08-02 13:41:56","2024-07-12 13:59:49",359764,"nostra.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,"2022-08-02 13:41:56","2024-07-12 13:59:49",359764,"nostra.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,"2024-07-12 14:04:50","2024-07-13 09:10:37",1741,"nostra.finance.","NS","nostra.finance.","ns-434.awsdns-54.com."
,,"2024-07-12 14:04:50","2024-07-13 09:10:37",1741,"nostra.finance.","NS","nostra.finance.","ns-877.awsdns-45.net."
,,"2024-07-12 14:04:50","2024-07-13 09:10:37",1741,"nostra.finance.","NS","nostra.finance.","ns-1035.awsdns-01.org."
,,"2024-07-12 14:04:50","2024-07-13 09:10:37",1741,"nostra.finance.","NS","nostra.finance.","ns-1793.awsdns-32.co.uk."
,,"2022-08-12 14:21:13","2024-07-09 00:40:22",206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e1.googledomains.com."
,,"2022-08-12 14:21:13","2024-07-09 00:40:22",206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e2.googledomains.com."
,,"2022-08-12 14:21:13","2024-07-09 00:40:22",206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e3.googledomains.com."
,,"2022-08-12 14:21:13","2024-07-09 00:40:22",206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e4.googledomains.com."
,,"2024-07-12 14:04:50","2024-07-13 08:04:48",514,"nostra.finance.","SOA","nostra.finance.","ns-877.awsdns-45.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
,,"2024-05-30 16:54:14","2024-07-12 18:06:16",104081,"nostra.finance.","SOA","nostra.finance.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 32 21600 3600 259200 300"
,,"2024-06-09 12:22:44","2024-07-07 15:30:08",2,"nostra.finance.","TXT","nostra.finance.","\"v=spf1 include:mailgun.org ~all\""
,,"2024-06-09 12:22:44","2024-07-07 15:30:08",2,"nostra.finance.","TXT","nostra.finance.","\"google-site-verification=OK4ZlZTYe7o6IAOb0JIouijTos-2a_iIcMSmmvWX-P8\""
