zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-08-07 22:50:21","2024-07-10 22:50:20",,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b1.googledomains.com."
"2023-08-07 22:50:21","2024-07-10 22:50:20",,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b2.googledomains.com."
"2023-08-07 22:50:21","2024-07-10 22:50:20",,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b3.googledomains.com."
"2023-08-07 22:50:21","2024-07-10 22:50:20",,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b4.googledomains.com."
,,"2023-08-11 11:49:57","2024-07-12 01:10:03",247,"ohmycrypt.com.","A","ohmycrypt.com.","76.76.21.21"
,,"2023-08-07 20:38:52","2024-07-12 01:10:03",673,"ohmycrypt.com.","NS","com.","ns-cloud-b1.googledomains.com."
,,"2023-08-07 20:38:52","2024-07-12 01:10:03",673,"ohmycrypt.com.","NS","com.","ns-cloud-b2.googledomains.com."
,,"2023-08-07 20:38:52","2024-07-12 01:10:03",673,"ohmycrypt.com.","NS","com.","ns-cloud-b3.googledomains.com."
,,"2023-08-07 20:38:52","2024-07-12 01:10:03",673,"ohmycrypt.com.","NS","com.","ns-cloud-b4.googledomains.com."
,,"2023-08-09 11:19:30","2024-07-03 07:32:24",22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b1.googledomains.com."
,,"2023-08-09 11:19:30","2024-07-03 07:32:24",22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b2.googledomains.com."
,,"2023-08-09 11:19:30","2024-07-03 07:32:24",22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b3.googledomains.com."
,,"2023-08-09 11:19:30","2024-07-03 07:32:24",22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b4.googledomains.com."
,,"2024-06-09 01:21:52","2024-07-08 21:06:11",9,"ohmycrypt.com.","SOA","ohmycrypt.com.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 7 21600 3600 259200 300"
