zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 00:03:08","2024-07-11 23:09:27",,,1123,"opulous.org.","NS","org.","ns-411.awsdns-51.com."
"2021-05-21 00:03:08","2024-07-11 23:09:27",,,1123,"opulous.org.","NS","org.","ns-896.awsdns-48.net."
"2021-05-21 00:03:08","2024-07-11 23:09:27",,,1123,"opulous.org.","NS","org.","ns-1215.awsdns-23.org."
"2021-05-21 00:03:08","2024-07-11 23:09:27",,,1123,"opulous.org.","NS","org.","ns-1969.awsdns-54.co.uk."
,,"2024-06-18 04:26:45","2024-07-12 18:58:55",166,"opulous.org.","A","opulous.org.","35.172.161.51"
,,"2021-05-04 03:27:36","2024-07-12 18:31:11",87462,"opulous.org.","NS","org.","ns-411.awsdns-51.com."
,,"2021-05-04 03:27:36","2024-07-12 18:31:11",87462,"opulous.org.","NS","org.","ns-896.awsdns-48.net."
,,"2021-05-04 03:27:36","2024-07-12 18:31:11",87462,"opulous.org.","NS","org.","ns-1215.awsdns-23.org."
,,"2021-05-04 03:27:36","2024-07-12 18:31:11",87462,"opulous.org.","NS","org.","ns-1969.awsdns-54.co.uk."
,,"2021-05-04 03:25:07","2024-07-13 10:13:14",54344,"opulous.org.","NS","opulous.org.","ns-411.awsdns-51.com."
,,"2021-05-04 03:25:07","2024-07-13 10:13:14",54344,"opulous.org.","NS","opulous.org.","ns-896.awsdns-48.net."
,,"2021-05-04 03:25:07","2024-07-13 10:13:14",54344,"opulous.org.","NS","opulous.org.","ns-1215.awsdns-23.org."
,,"2021-05-04 03:25:07","2024-07-13 10:13:14",54344,"opulous.org.","NS","opulous.org.","ns-1969.awsdns-54.co.uk."
,,"2021-05-04 03:25:08","2024-07-12 23:16:14",33853,"opulous.org.","SOA","opulous.org.","ns-1969.awsdns-54.co.uk. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
