zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-03-19 00:16:21","2024-07-12 00:10:21",,,824,"orderly.network.","NS","network.","simon.ns.cloudflare.com."
"2022-03-19 00:16:21","2024-07-12 00:10:21",,,824,"orderly.network.","NS","network.","heather.ns.cloudflare.com."
,,"2023-12-12 10:17:59","2024-07-13 02:15:40",10871,"orderly.network.","A","orderly.network.","34.144.211.118"
,,"2022-03-17 11:16:39","2024-07-13 04:15:52",874678,"orderly.network.","NS","network.","simon.ns.cloudflare.com."
,,"2022-03-17 11:16:39","2024-07-13 04:15:52",874678,"orderly.network.","NS","network.","heather.ns.cloudflare.com."
,,"2022-03-18 08:01:29","2024-07-13 07:34:16",27278,"orderly.network.","NS","orderly.network.","simon.ns.cloudflare.com."
,,"2022-03-18 08:01:29","2024-07-13 07:34:16",27278,"orderly.network.","NS","orderly.network.","heather.ns.cloudflare.com."
,,"2024-06-27 08:51:58","2024-07-13 00:05:24",5120877,"orderly.network.","SOA","orderly.network.","heather.ns.cloudflare.com. dns.cloudflare.com. 2344964000 10000 2400 604800 1800"
,,"2022-03-18 08:01:29","2024-07-10 10:50:37",231,"orderly.network.","MX","orderly.network.","1 aspmx.l.google.com."
,,"2022-03-18 08:01:29","2024-07-10 10:50:37",231,"orderly.network.","MX","orderly.network.","5 alt1.aspmx.l.google.com."
,,"2022-03-18 08:01:29","2024-07-10 10:50:37",231,"orderly.network.","MX","orderly.network.","5 alt2.aspmx.l.google.com."
,,"2022-03-18 08:01:29","2024-07-10 10:50:37",231,"orderly.network.","MX","orderly.network.","10 alt3.aspmx.l.google.com."
,,"2022-03-18 08:01:29","2024-07-10 10:50:37",231,"orderly.network.","MX","orderly.network.","10 alt4.aspmx.l.google.com."
,,"2023-11-22 13:33:07","2024-07-12 01:24:47",27,"orderly.network.","TXT","orderly.network.","\"v=spf1 include:_spf.google.com ~all\""
,,"2023-11-22 13:33:07","2024-07-12 01:24:47",27,"orderly.network.","TXT","orderly.network.","\"knowbe4-site-verification=f2cb9c2c37f327adbccffa2472db5ef8\""
,,"2023-11-22 13:33:07","2024-07-12 01:24:47",27,"orderly.network.","TXT","orderly.network.","\"google-site-verification=cCJL-G27EYXF54E_Fe2-5eXp7VCwDl9ZVe8PYdwerAg\""
