zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-29 01:58:32","2024-07-11 23:58:12",,,538,"ouchi.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
"2021-05-29 01:58:32","2024-07-11 23:58:12",,,538,"ouchi.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
"2021-05-29 01:58:32","2024-07-11 23:58:12",,,538,"ouchi.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
"2021-05-29 01:58:32","2024-07-11 23:58:12",,,538,"ouchi.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2024-06-08 17:35:26","2024-07-09 23:54:36",48,"ouchi.finance.","A","ouchi.finance.","198.185.159.144"
,,"2021-06-08 14:22:05","2024-07-12 20:11:11",5529,"ouchi.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,"2021-06-08 14:22:05","2024-07-12 20:11:11",5529,"ouchi.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,"2021-06-08 14:22:05","2024-07-12 20:11:11",5529,"ouchi.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,"2021-06-08 14:22:05","2024-07-12 20:11:11",5529,"ouchi.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2021-06-08 14:22:09","2024-07-12 10:22:05",30,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b1.googledomains.com."
,,"2021-06-08 14:22:09","2024-07-12 10:22:05",30,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b2.googledomains.com."
,,"2021-06-08 14:22:09","2024-07-12 10:22:05",30,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b3.googledomains.com."
,,"2021-06-08 14:22:09","2024-07-12 10:22:05",30,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b4.googledomains.com."
,,"2024-06-18 19:21:27","2024-07-12 20:11:11",43,"ouchi.finance.","SOA","ouchi.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 27 21600 3600 259200 300"
,,"2022-04-09 22:35:29","2024-07-03 09:09:00",68,"ouchi.finance.","MX","ouchi.finance.","1 aspmx.l.google.com."
,,"2022-04-09 22:35:29","2024-07-03 09:09:00",68,"ouchi.finance.","MX","ouchi.finance.","5 alt1.aspmx.l.google.com."
,,"2022-04-09 22:35:29","2024-07-03 09:09:00",68,"ouchi.finance.","MX","ouchi.finance.","5 alt2.aspmx.l.google.com."
,,"2022-04-09 22:35:29","2024-07-03 09:09:00",68,"ouchi.finance.","MX","ouchi.finance.","10 alt3.aspmx.l.google.com."
,,"2022-04-09 22:35:29","2024-07-03 09:09:00",68,"ouchi.finance.","MX","ouchi.finance.","10 alt4.aspmx.l.google.com."
,,"2022-04-09 22:35:29","2024-07-04 05:28:29",15,"ouchi.finance.","TXT","ouchi.finance.","\"v=spf1 include:_spf.google.com ~all\""
