zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"pendle.finance.","NS","finance.","val.ns.cloudflare.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"pendle.finance.","NS","finance.","quincy.ns.cloudflare.com."
,,"2024-07-11 22:31:54","2024-07-11 22:33:58",5,"pendle.finance.","A","pendle.finance.","104.21.64.147"
,,"2024-07-11 22:31:54","2024-07-11 22:33:58",5,"pendle.finance.","A","pendle.finance.","172.67.151.150"
,,"2023-09-26 08:03:20","2024-07-13 02:51:22",2642,"pendle.finance.","A","pendle.finance.","104.22.68.179"
,,"2023-09-26 08:03:20","2024-07-13 02:51:22",2642,"pendle.finance.","A","pendle.finance.","104.22.69.179"
,,"2023-09-26 08:03:20","2024-07-13 02:51:22",2642,"pendle.finance.","A","pendle.finance.","172.67.4.58"
,,"2023-09-27 04:24:01","2024-07-13 06:06:26",2604,"pendle.finance.","A","pendle.finance.","188.114.98.229"
,,"2023-09-27 04:24:01","2024-07-13 06:06:26",2604,"pendle.finance.","A","pendle.finance.","188.114.99.229"
,,"2021-04-28 07:04:44","2024-07-12 17:03:07",524245,"pendle.finance.","NS","finance.","val.ns.cloudflare.com."
,,"2021-04-28 07:04:44","2024-07-12 17:03:07",524245,"pendle.finance.","NS","finance.","quincy.ns.cloudflare.com."
,,"2024-07-11 22:22:33","2024-07-11 22:46:22",24,"pendle.finance.","NS","finance.","leif.ns.cloudflare.com."
,,"2024-07-11 22:22:33","2024-07-11 22:46:22",24,"pendle.finance.","NS","finance.","adelaide.ns.cloudflare.com."
,,"2021-05-01 06:06:14","2024-07-12 21:47:12",711,"pendle.finance.","NS","pendle.finance.","val.ns.cloudflare.com."
,,"2021-05-01 06:06:14","2024-07-12 21:47:12",711,"pendle.finance.","NS","pendle.finance.","quincy.ns.cloudflare.com."
,,"2024-06-14 00:56:11","2024-07-11 00:30:19",15558,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2343753484 10000 2400 604800 1800"
,,"2024-07-11 23:00:03","2024-07-11 23:00:23",90,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2346222258 10000 2400 604800 1800"
,,"2024-07-11 23:05:44","2024-07-11 23:06:12",28,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2346224829 10000 2400 604800 1800"
,,"2024-07-12 08:33:19","2024-07-12 08:56:49",2,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2346256181 10000 2400 604800 1800"
,,"2024-07-11 22:28:45","2024-07-11 22:46:23",49,"pendle.finance.","SOA","pendle.finance.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2346222570 10000 2400 604800 1800"
,,"2024-07-11 23:00:12","2024-07-11 23:00:12",16,"pendle.finance.","SOA","pendle.finance.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2346224206 10000 2400 604800 1800"
,,"2020-12-28 13:37:47","2024-07-10 13:25:51",291,"pendle.finance.","MX","pendle.finance.","1 aspmx.l.google.com."
,,"2020-12-28 13:37:47","2024-07-10 13:25:51",291,"pendle.finance.","MX","pendle.finance.","5 alt1.aspmx.l.google.com."
,,"2020-12-28 13:37:47","2024-07-10 13:25:51",291,"pendle.finance.","MX","pendle.finance.","5 alt2.aspmx.l.google.com."
,,"2020-12-28 13:37:47","2024-07-10 13:25:51",291,"pendle.finance.","MX","pendle.finance.","10 alt3.aspmx.l.google.com."
,,"2020-12-28 13:37:47","2024-07-10 13:25:51",291,"pendle.finance.","MX","pendle.finance.","10 alt4.aspmx.l.google.com."
,,"2023-09-26 23:13:15","2024-07-12 11:23:03",1671,"pendle.finance.","AAAA","pendle.finance.","2606:4700:10::6816:44b3"
,,"2023-09-26 23:13:15","2024-07-12 11:23:03",1671,"pendle.finance.","AAAA","pendle.finance.","2606:4700:10::6816:45b3"
,,"2023-09-26 23:13:15","2024-07-12 11:23:03",1671,"pendle.finance.","AAAA","pendle.finance.","2606:4700:10::ac43:43a"
,,"2023-09-30 03:49:37","2024-07-12 12:33:06",402,"pendle.finance.","AAAA","pendle.finance.","2a06:98c1:3122:e000::5"
,,"2023-09-30 03:49:37","2024-07-12 12:33:06",402,"pendle.finance.","AAAA","pendle.finance.","2a06:98c1:3123:e000::5"
,,"2023-09-30 03:40:43","2024-07-12 18:54:23",1037,"pendle.finance.","HTTPS","pendle.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,"2024-07-11 22:33:58","2024-07-11 22:33:58",1,"pendle.finance.","HTTPS","pendle.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.64.147,172.67.151.150 ipv6hint=2606:4700:3030::ac43:9796,2606:4700:3036::6815:4093"
,,"2023-09-26 08:03:21","2024-07-12 18:45:48",1898,"pendle.finance.","HTTPS","pendle.finance.","1 . alpn=\"h2\" ipv4hint=104.22.68.179,104.22.69.179,172.67.4.58 ipv6hint=2606:4700:10::6816:44b3,2606:4700:10::6816:45b3,2606:4700:10::ac43:43a"
