zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-20 22:50:23","2024-07-10 22:50:20",,,1038,"polymarket.com.","NS","com.","logan.ns.cloudflare.com."
"2021-05-20 22:50:23","2024-07-10 22:50:20",,,1038,"polymarket.com.","NS","com.","fatima.ns.cloudflare.com."
,,"2020-10-14 19:37:10","2024-07-12 21:12:06",561408,"polymarket.com.","A","polymarket.com.","76.76.21.21"
,,"2020-10-13 19:33:13","2024-07-13 01:14:54",978873,"polymarket.com.","NS","com.","logan.ns.cloudflare.com."
,,"2020-10-13 19:33:13","2024-07-13 01:14:54",978873,"polymarket.com.","NS","com.","fatima.ns.cloudflare.com."
,,"2020-11-08 04:44:11","2024-07-11 23:02:11",1110,"polymarket.com.","NS","polymarket.com.","logan.ns.cloudflare.com."
,,"2020-11-08 04:44:11","2024-07-11 23:02:11",1110,"polymarket.com.","NS","polymarket.com.","fatima.ns.cloudflare.com."
,,"2024-06-28 22:07:56","2024-07-09 19:39:41",47528,"polymarket.com.","SOA","polymarket.com.","fatima.ns.cloudflare.com. dns.cloudflare.com. 2345098127 10000 2400 604800 1800"
,,"2024-07-09 19:41:32","2024-07-10 18:43:30",3075,"polymarket.com.","SOA","polymarket.com.","fatima.ns.cloudflare.com. dns.cloudflare.com. 2346039717 10000 2400 604800 1800"
,,"2024-07-10 18:44:40","2024-07-10 18:44:40",2,"polymarket.com.","SOA","polymarket.com.","fatima.ns.cloudflare.com. dns.cloudflare.com. 2346122709 10000 2400 604800 1800"
,,"2024-07-10 18:44:56","2024-07-10 20:43:51",368,"polymarket.com.","SOA","polymarket.com.","fatima.ns.cloudflare.com. dns.cloudflare.com. 2346122787 10000 2400 604800 1800"
,,"2024-07-10 20:44:22","2024-07-10 21:05:08",74,"polymarket.com.","SOA","polymarket.com.","fatima.ns.cloudflare.com. dns.cloudflare.com. 2346129956 10000 2400 604800 1800"
,,"2024-07-10 21:06:33","2024-07-10 21:06:33",2,"polymarket.com.","SOA","polymarket.com.","fatima.ns.cloudflare.com. dns.cloudflare.com. 2346131279 10000 2400 604800 1800"
,,"2024-07-10 21:06:57","2024-07-13 04:53:17",9022,"polymarket.com.","SOA","polymarket.com.","fatima.ns.cloudflare.com. dns.cloudflare.com. 2346131299 10000 2400 604800 1800"
,,"2020-10-13 19:34:18","2024-07-12 02:24:22",1145,"polymarket.com.","MX","polymarket.com.","1 aspmx.l.google.com."
,,"2020-10-13 19:34:18","2024-07-12 02:24:22",1145,"polymarket.com.","MX","polymarket.com.","5 alt1.aspmx.l.google.com."
,,"2020-10-13 19:34:18","2024-07-12 02:24:22",1145,"polymarket.com.","MX","polymarket.com.","5 alt2.aspmx.l.google.com."
,,"2020-10-13 19:34:18","2024-07-12 02:24:22",1145,"polymarket.com.","MX","polymarket.com.","10 alt3.aspmx.l.google.com."
,,"2020-10-13 19:34:18","2024-07-12 02:24:22",1145,"polymarket.com.","MX","polymarket.com.","10 alt4.aspmx.l.google.com."
,,"2023-07-02 17:37:07","2024-07-11 17:57:53",55,"polymarket.com.","TXT","polymarket.com.","\"ca3-3bae8091dbc6450180bc26119a7e182f\""
,,"2023-07-02 17:37:07","2024-07-11 17:57:53",55,"polymarket.com.","TXT","polymarket.com.","\"facebook-domain-verification=hd5uj8hu14zvhubzo69rt3yjo3yxzp\""
,,"2023-07-02 17:37:07","2024-07-11 17:57:53",55,"polymarket.com.","TXT","polymarket.com.","\"v=spf1 include:_spf.google.com include:spf.mandrillapp.com -all\""
,,"2023-07-02 17:37:07","2024-07-11 17:57:53",55,"polymarket.com.","TXT","polymarket.com.","\"google-site-verification=nH9vvo7Bpva2j-kVkKup7QW-ZBU3QXoovVmAE8cajgg\""
,,"2023-07-02 17:37:07","2024-07-11 17:57:53",55,"polymarket.com.","TXT","polymarket.com.","\"google-site-verification=pllZV7S6aw92cKI_mffkLZUKBBJHQJ7hQTqnvsKyI3Q\""
,,"2023-07-02 17:37:07","2024-07-11 17:57:53",55,"polymarket.com.","TXT","polymarket.com.","\"wallet-connect-dns-verification=13a24db53155ffbe1f0efb7a5b11363a45b38c69aa4c7f3ef872489624043d2b\""
