zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"port.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"port.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"port.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"port.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2023-03-17 04:07:19","2024-07-12 00:33:10",2549,"port.finance.","A","port.finance.","76.76.21.21"
,,"2021-05-14 15:12:35","2024-07-13 01:45:22",131020,"port.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,"2021-05-14 15:12:35","2024-07-13 01:45:22",131020,"port.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,"2021-05-14 15:12:35","2024-07-13 01:45:22",131020,"port.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,"2021-05-14 15:12:35","2024-07-13 01:45:22",131020,"port.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2021-05-18 23:14:03","2024-07-09 19:17:20",307,"port.finance.","NS","port.finance.","ns-cloud-b1.googledomains.com."
,,"2021-05-18 23:14:03","2024-07-09 19:17:20",307,"port.finance.","NS","port.finance.","ns-cloud-b2.googledomains.com."
,,"2021-05-18 23:14:03","2024-07-09 19:17:20",307,"port.finance.","NS","port.finance.","ns-cloud-b3.googledomains.com."
,,"2021-05-18 23:14:03","2024-07-09 19:17:20",307,"port.finance.","NS","port.finance.","ns-cloud-b4.googledomains.com."
,,"2023-03-17 05:34:43","2024-07-01 15:44:43",675151,"port.finance.","SOA","port.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 59 21600 3600 259200 300"
,,"2024-07-02 01:48:01","2024-07-13 09:26:12",19,"port.finance.","SOA","port.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 60 21600 3600 259200 300"
