zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"premia.finance.","NS","finance.","ken.ns.cloudflare.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"premia.finance.","NS","finance.","shubhi.ns.cloudflare.com."
,,"2021-04-09 03:33:54","2024-07-07 16:21:07",8970,"premia.finance.","A","premia.finance.","104.26.0.129"
,,"2021-04-09 03:33:54","2024-07-07 16:21:07",8970,"premia.finance.","A","premia.finance.","104.26.1.129"
,,"2021-04-09 03:33:54","2024-07-07 16:21:07",8970,"premia.finance.","A","premia.finance.","172.67.74.144"
,,"2023-03-11 23:16:47","2024-07-13 10:22:32",1394,"premia.finance.","A","premia.finance.","188.114.98.229"
,,"2023-03-11 23:16:47","2024-07-13 10:22:32",1394,"premia.finance.","A","premia.finance.","188.114.99.229"
,,"2021-02-09 20:24:46","2024-07-12 20:48:45",103182,"premia.finance.","NS","finance.","ken.ns.cloudflare.com."
,,"2021-02-09 20:24:46","2024-07-12 20:48:45",103182,"premia.finance.","NS","finance.","shubhi.ns.cloudflare.com."
,,"2021-04-01 11:15:47","2024-07-03 00:41:06",565,"premia.finance.","NS","premia.finance.","ken.ns.cloudflare.com."
,,"2021-04-01 11:15:47","2024-07-03 00:41:06",565,"premia.finance.","NS","premia.finance.","shubhi.ns.cloudflare.com."
,,"2024-06-26 06:28:32","2024-07-02 05:46:03",52,"premia.finance.","SOA","premia.finance.","ken.ns.cloudflare.com. dns.cloudflare.com. 2344810868 10000 2400 604800 1800"
,,"2024-07-03 08:58:46","2024-07-13 01:23:39",83,"premia.finance.","SOA","premia.finance.","ken.ns.cloudflare.com. dns.cloudflare.com. 2345461215 10000 2400 604800 1800"
,,"2021-01-30 08:56:08","2024-07-03 19:11:19",598,"premia.finance.","MX","premia.finance.","1 aspmx.l.google.com."
,,"2021-01-30 08:56:08","2024-07-03 19:11:19",598,"premia.finance.","MX","premia.finance.","5 alt1.aspmx.l.google.com."
,,"2021-01-30 08:56:08","2024-07-03 19:11:19",598,"premia.finance.","MX","premia.finance.","5 alt2.aspmx.l.google.com."
,,"2021-01-30 08:56:08","2024-07-03 19:11:19",598,"premia.finance.","MX","premia.finance.","10 alt3.aspmx.l.google.com."
,,"2021-01-30 08:56:08","2024-07-03 19:11:19",598,"premia.finance.","MX","premia.finance.","10 alt4.aspmx.l.google.com."
,,"2021-04-09 03:33:54","2024-07-10 18:08:39",5052,"premia.finance.","AAAA","premia.finance.","2606:4700:20::681a:81"
,,"2021-04-09 03:33:54","2024-07-10 18:08:39",5052,"premia.finance.","AAAA","premia.finance.","2606:4700:20::681a:181"
,,"2021-04-09 03:33:54","2024-07-10 18:08:39",5052,"premia.finance.","AAAA","premia.finance.","2606:4700:20::ac43:4a90"
,,"2023-03-12 14:09:52","2024-07-13 10:22:32",178,"premia.finance.","AAAA","premia.finance.","2a06:98c1:3122:e000::5"
,,"2023-03-12 14:09:52","2024-07-13 10:22:32",178,"premia.finance.","AAAA","premia.finance.","2a06:98c1:3123:e000::5"
