zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-10-24 22:20:40","2024-07-11 22:58:21",,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e1.googledomains.com."
"2022-10-24 22:20:40","2024-07-11 22:58:21",,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e2.googledomains.com."
"2022-10-24 22:20:40","2024-07-11 22:58:21",,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e3.googledomains.com."
"2022-10-24 22:20:40","2024-07-11 22:58:21",,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e4.googledomains.com."
,,"2022-12-28 09:52:51","2024-07-11 19:47:17",286,"pxswap.xyz.","A","pxswap.xyz.","76.76.21.21"
,,"2022-10-26 01:01:59","2024-07-11 19:47:17",923,"pxswap.xyz.","NS","xyz.","ns-cloud-e1.googledomains.com."
,,"2022-10-26 01:01:59","2024-07-11 19:47:17",923,"pxswap.xyz.","NS","xyz.","ns-cloud-e2.googledomains.com."
,,"2022-10-26 01:01:59","2024-07-11 19:47:17",923,"pxswap.xyz.","NS","xyz.","ns-cloud-e3.googledomains.com."
,,"2022-10-26 01:01:59","2024-07-11 19:47:17",923,"pxswap.xyz.","NS","xyz.","ns-cloud-e4.googledomains.com."
,,"2022-10-26 13:00:44","2024-07-11 00:44:50",46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e1.googledomains.com."
,,"2022-10-26 13:00:44","2024-07-11 00:44:50",46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e2.googledomains.com."
,,"2022-10-26 13:00:44","2024-07-11 00:44:50",46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e3.googledomains.com."
,,"2022-10-26 13:00:44","2024-07-11 00:44:50",46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e4.googledomains.com."
,,"2024-06-19 15:05:07","2024-07-11 19:47:11",6,"pxswap.xyz.","SOA","pxswap.xyz.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 13 21600 3600 259200 300"
