zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-01-09 00:19:20","2024-07-11 23:58:09",,,893,"rare.fyi.","NS","fyi.","kate.ns.cloudflare.com."
"2022-01-09 00:19:20","2024-07-11 23:58:09",,,893,"rare.fyi.","NS","fyi.","kanye.ns.cloudflare.com."
,,"2022-01-07 02:20:40","2024-07-13 04:37:48",3070,"rare.fyi.","A","rare.fyi.","104.21.40.61"
,,"2022-01-07 02:20:40","2024-07-13 04:37:48",3070,"rare.fyi.","A","rare.fyi.","172.67.178.10"
,,"2022-01-07 02:20:40","2024-07-13 04:37:47",7867,"rare.fyi.","NS","fyi.","kate.ns.cloudflare.com."
,,"2022-01-07 02:20:40","2024-07-13 04:37:47",7867,"rare.fyi.","NS","fyi.","kanye.ns.cloudflare.com."
,,"2022-02-05 15:27:02","2024-07-11 14:18:29",77,"rare.fyi.","NS","rare.fyi.","kate.ns.cloudflare.com."
,,"2022-02-05 15:27:02","2024-07-11 14:18:29",77,"rare.fyi.","NS","rare.fyi.","kanye.ns.cloudflare.com."
,,"2024-06-20 12:02:29","2024-07-04 00:12:31",20,"rare.fyi.","SOA","rare.fyi.","kanye.ns.cloudflare.com. dns.cloudflare.com. 2344084907 10000 2400 604800 1800"
,,"2024-07-10 20:33:17","2024-07-10 20:33:17",1,"rare.fyi.","SOA","rare.fyi.","kanye.ns.cloudflare.com. dns.cloudflare.com. 2345602720 10000 2400 604800 1800"
,,"2022-01-07 15:11:16","2024-07-10 07:36:44",1795,"rare.fyi.","AAAA","rare.fyi.","2606:4700:3030::ac43:b20a"
,,"2022-01-07 15:11:16","2024-07-10 07:36:44",1795,"rare.fyi.","AAAA","rare.fyi.","2606:4700:3032::6815:283d"
,,"2023-06-16 08:19:06","2024-07-10 07:36:44",736,"rare.fyi.","HTTPS","rare.fyi.","1 . alpn=\"h3,h2\" ipv4hint=104.21.40.61,172.67.178.10 ipv6hint=2606:4700:3030::ac43:b20a,2606:4700:3032::6815:283d"
,,"2023-10-29 12:00:23","2024-07-10 02:18:19",7,"rare.fyi.","HTTPS","rare.fyi.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.3,188.114.97.3 ipv6hint=2a06:98c1:3120::3,2a06:98c1:3121::3"
