zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-08-24 23:55:59","2024-07-11 23:58:12",,,322,"ratio.finance.","NS","finance.","dns1.p01.nsone.net."
"2023-08-24 23:55:59","2024-07-11 23:58:12",,,322,"ratio.finance.","NS","finance.","dns2.p01.nsone.net."
"2023-08-24 23:55:59","2024-07-11 23:58:12",,,322,"ratio.finance.","NS","finance.","dns3.p01.nsone.net."
"2023-08-24 23:55:59","2024-07-11 23:58:12",,,322,"ratio.finance.","NS","finance.","dns4.p01.nsone.net."
,,"2023-10-03 03:49:48","2024-07-12 21:32:19",1007,"ratio.finance.","A","ratio.finance.","99.83.190.102"
,,"2023-08-24 22:56:03","2024-07-12 13:07:38",12763,"ratio.finance.","NS","finance.","dns1.p01.nsone.net."
,,"2023-08-24 22:56:03","2024-07-12 13:07:38",12763,"ratio.finance.","NS","finance.","dns2.p01.nsone.net."
,,"2023-08-24 22:56:03","2024-07-12 13:07:38",12763,"ratio.finance.","NS","finance.","dns3.p01.nsone.net."
,,"2023-08-24 22:56:03","2024-07-12 13:07:38",12763,"ratio.finance.","NS","finance.","dns4.p01.nsone.net."
,,"2023-08-17 09:00:09","2024-07-13 00:30:35",109,"ratio.finance.","NS","ratio.finance.","dns1.p01.nsone.net."
,,"2023-08-17 09:00:09","2024-07-13 00:30:35",109,"ratio.finance.","NS","ratio.finance.","dns2.p01.nsone.net."
,,"2023-08-17 09:00:09","2024-07-13 00:30:35",109,"ratio.finance.","NS","ratio.finance.","dns3.p01.nsone.net."
,,"2023-08-17 09:00:09","2024-07-13 00:30:35",109,"ratio.finance.","NS","ratio.finance.","dns4.p01.nsone.net."
,,"2021-08-27 17:17:49","2024-07-08 14:28:01",4268,"ratio.finance.","CNAME","ratio.finance.","proxy-ssl.webflow.com."
,,"2023-08-17 09:01:08","2024-07-12 03:14:51",49310,"ratio.finance.","SOA","ratio.finance.","dns1.p01.nsone.net. domains+netlify.netlify.com. 1692210382 43200 7200 1209600 3600"
,,"2023-11-08 01:03:12","2024-07-07 15:41:13",9,"ratio.finance.","TXT","ratio.finance.","\"v=spf1 include:_spf.google.com ~all\""
