zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-05-17 00:11:24","2024-07-11 23:58:12",,,777,"rift.finance.","NS","finance.","maisie.ns.cloudflare.com."
"2022-05-17 00:11:24","2024-07-11 23:58:12",,,777,"rift.finance.","NS","finance.","patryk.ns.cloudflare.com."
,,"2022-02-11 17:52:49","2024-07-13 01:00:54",18923,"rift.finance.","A","rift.finance.","76.76.21.21"
,,"2022-05-17 00:47:58","2024-07-13 07:14:39",35630,"rift.finance.","NS","finance.","maisie.ns.cloudflare.com."
,,"2022-05-17 00:47:58","2024-07-13 07:14:39",35630,"rift.finance.","NS","finance.","patryk.ns.cloudflare.com."
,,"2022-06-21 17:36:16","2024-07-07 03:28:05",210,"rift.finance.","NS","rift.finance.","maisie.ns.cloudflare.com."
,,"2022-06-21 17:36:16","2024-07-07 03:28:05",210,"rift.finance.","NS","rift.finance.","patryk.ns.cloudflare.com."
,,"2024-06-28 08:21:19","2024-07-12 13:09:07",54,"rift.finance.","SOA","rift.finance.","maisie.ns.cloudflare.com. dns.cloudflare.com. 2344883858 10000 2400 604800 1800"
,,"2021-06-04 02:10:10","2024-07-12 00:19:17",443,"rift.finance.","MX","rift.finance.","1 aspmx.l.google.com."
,,"2021-06-04 02:10:10","2024-07-12 00:19:17",443,"rift.finance.","MX","rift.finance.","5 alt1.aspmx.l.google.com."
,,"2021-06-04 02:10:10","2024-07-12 00:19:17",443,"rift.finance.","MX","rift.finance.","5 alt2.aspmx.l.google.com."
,,"2021-06-04 02:10:10","2024-07-12 00:19:17",443,"rift.finance.","MX","rift.finance.","10 alt3.aspmx.l.google.com."
,,"2021-06-04 02:10:10","2024-07-12 00:19:17",443,"rift.finance.","MX","rift.finance.","10 alt4.aspmx.l.google.com."
