zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-09-22 22:15:43","2024-07-10 12:03:32",,,652,"rvrs.app.","NS","app.","ns-cloud-a1.googledomains.com."
"2022-09-22 22:15:43","2024-07-10 12:03:32",,,652,"rvrs.app.","NS","app.","ns-cloud-a2.googledomains.com."
"2022-09-22 22:15:43","2024-07-10 12:03:32",,,652,"rvrs.app.","NS","app.","ns-cloud-a3.googledomains.com."
"2022-09-22 22:15:43","2024-07-10 12:03:32",,,652,"rvrs.app.","NS","app.","ns-cloud-a4.googledomains.com."
,,"2022-09-28 10:12:10","2024-07-13 02:05:24",375,"rvrs.app.","A","rvrs.app.","76.76.21.21"
,,"2022-09-26 23:13:43","2024-07-12 22:30:02",1152,"rvrs.app.","NS","app.","ns-cloud-a1.googledomains.com."
,,"2022-09-26 23:13:43","2024-07-12 22:30:02",1152,"rvrs.app.","NS","app.","ns-cloud-a2.googledomains.com."
,,"2022-09-26 23:13:43","2024-07-12 22:30:02",1152,"rvrs.app.","NS","app.","ns-cloud-a3.googledomains.com."
,,"2022-09-26 23:13:43","2024-07-12 22:30:02",1152,"rvrs.app.","NS","app.","ns-cloud-a4.googledomains.com."
,,"2022-11-14 07:57:14","2024-07-13 05:53:45",38,"rvrs.app.","NS","rvrs.app.","ns-cloud-a1.googledomains.com."
,,"2022-11-14 07:57:14","2024-07-13 05:53:45",38,"rvrs.app.","NS","rvrs.app.","ns-cloud-a2.googledomains.com."
,,"2022-11-14 07:57:14","2024-07-13 05:53:45",38,"rvrs.app.","NS","rvrs.app.","ns-cloud-a3.googledomains.com."
,,"2022-11-14 07:57:14","2024-07-13 05:53:45",38,"rvrs.app.","NS","rvrs.app.","ns-cloud-a4.googledomains.com."
,,"2024-04-28 00:30:04","2024-07-12 22:30:02",54,"rvrs.app.","SOA","rvrs.app.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 22 21600 3600 259200 300"
