zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-10-08 00:06:49","2024-07-12 00:09:40",,,643,"safe.global.","NS","global.","ns-40.awsdns-05.com."
"2022-10-08 00:06:49","2024-07-12 00:09:40",,,643,"safe.global.","NS","global.","ns-997.awsdns-60.net."
"2022-10-08 00:06:49","2024-07-12 00:09:40",,,643,"safe.global.","NS","global.","ns-1317.awsdns-36.org."
"2022-10-08 00:06:49","2024-07-12 00:09:40",,,643,"safe.global.","NS","global.","ns-1801.awsdns-33.co.uk."
,,"2024-01-24 07:55:50","2024-07-09 16:29:36",334,"safe.global.","A","safe.global.","3.161.136.8"
,,"2024-01-24 07:55:50","2024-07-09 16:29:36",334,"safe.global.","A","safe.global.","3.161.136.18"
,,"2024-01-24 07:55:50","2024-07-09 16:29:36",334,"safe.global.","A","safe.global.","3.161.136.66"
,,"2024-01-24 07:55:50","2024-07-09 16:29:36",334,"safe.global.","A","safe.global.","3.161.136.97"
,,"2024-02-12 18:07:30","2024-07-12 18:46:54",865,"safe.global.","A","safe.global.","3.162.79.2"
,,"2024-02-12 18:07:30","2024-07-12 18:46:54",865,"safe.global.","A","safe.global.","3.162.79.45"
,,"2024-02-12 18:07:30","2024-07-12 18:46:54",865,"safe.global.","A","safe.global.","3.162.79.114"
,,"2024-02-12 18:07:30","2024-07-12 18:46:54",865,"safe.global.","A","safe.global.","3.162.79.118"
,,"2024-06-03 06:06:22","2024-07-12 21:02:47",20,"safe.global.","A","safe.global.","3.162.125.22"
,,"2024-06-03 06:06:22","2024-07-12 21:02:47",20,"safe.global.","A","safe.global.","3.162.125.29"
,,"2024-06-03 06:06:22","2024-07-12 21:02:47",20,"safe.global.","A","safe.global.","3.162.125.36"
,,"2024-06-03 06:06:22","2024-07-12 21:02:47",20,"safe.global.","A","safe.global.","3.162.125.55"
,,"2024-04-12 17:18:03","2024-07-13 07:31:30",5697,"safe.global.","A","safe.global.","3.164.240.2"
,,"2024-04-12 17:18:03","2024-07-13 07:31:30",5697,"safe.global.","A","safe.global.","3.164.240.18"
,,"2024-04-12 17:18:03","2024-07-13 07:31:30",5697,"safe.global.","A","safe.global.","3.164.240.32"
,,"2024-04-12 17:18:03","2024-07-13 07:31:30",5697,"safe.global.","A","safe.global.","3.164.240.61"
,,"2024-04-25 15:32:24","2024-07-12 19:33:03",75,"safe.global.","A","safe.global.","13.32.87.3"
,,"2024-04-25 15:32:24","2024-07-12 19:33:03",75,"safe.global.","A","safe.global.","13.32.87.4"
,,"2024-04-25 15:32:24","2024-07-12 19:33:03",75,"safe.global.","A","safe.global.","13.32.87.18"
,,"2024-04-25 15:32:24","2024-07-12 19:33:03",75,"safe.global.","A","safe.global.","13.32.87.98"
,,"2024-04-25 10:37:24","2024-07-11 11:55:07",3,"safe.global.","A","safe.global.","13.33.30.51"
,,"2024-04-25 10:37:24","2024-07-11 11:55:07",3,"safe.global.","A","safe.global.","13.33.30.68"
,,"2024-04-25 10:37:24","2024-07-11 11:55:07",3,"safe.global.","A","safe.global.","13.33.30.92"
,,"2024-04-25 10:37:24","2024-07-11 11:55:07",3,"safe.global.","A","safe.global.","13.33.30.117"
,,"2024-02-17 17:42:09","2024-07-13 00:58:45",2527,"safe.global.","A","safe.global.","13.33.187.23"
,,"2024-02-17 17:42:09","2024-07-13 00:58:45",2527,"safe.global.","A","safe.global.","13.33.187.36"
,,"2024-02-17 17:42:09","2024-07-13 00:58:45",2527,"safe.global.","A","safe.global.","13.33.187.68"
,,"2024-02-17 17:42:09","2024-07-13 00:58:45",2527,"safe.global.","A","safe.global.","13.33.187.94"
,,"2023-12-12 01:16:32","2024-07-09 19:01:51",30,"safe.global.","A","safe.global.","13.224.14.91"
,,"2023-12-12 01:16:32","2024-07-09 19:01:51",30,"safe.global.","A","safe.global.","13.224.14.95"
,,"2023-12-12 01:16:32","2024-07-09 19:01:51",30,"safe.global.","A","safe.global.","13.224.14.105"
,,"2023-12-12 01:16:32","2024-07-09 19:01:51",30,"safe.global.","A","safe.global.","13.224.14.112"
,,"2023-08-22 09:07:17","2024-07-12 07:24:52",5,"safe.global.","A","safe.global.","13.224.214.9"
,,"2023-08-22 09:07:17","2024-07-12 07:24:52",5,"safe.global.","A","safe.global.","13.224.214.19"
,,"2023-08-22 09:07:17","2024-07-12 07:24:52",5,"safe.global.","A","safe.global.","13.224.214.23"
,,"2023-08-22 09:07:17","2024-07-12 07:24:52",5,"safe.global.","A","safe.global.","13.224.214.85"
,,"2023-03-11 03:55:55","2024-07-12 12:33:37",506,"safe.global.","A","safe.global.","13.224.245.15"
,,"2023-03-11 03:55:55","2024-07-12 12:33:37",506,"safe.global.","A","safe.global.","13.224.245.20"
,,"2023-03-11 03:55:55","2024-07-12 12:33:37",506,"safe.global.","A","safe.global.","13.224.245.33"
,,"2023-03-11 03:55:55","2024-07-12 12:33:37",506,"safe.global.","A","safe.global.","13.224.245.58"
,,"2023-08-16 12:36:40","2024-07-13 04:15:16",8810,"safe.global.","A","safe.global.","13.226.210.74"
,,"2023-08-16 12:36:40","2024-07-13 04:15:16",8810,"safe.global.","A","safe.global.","13.226.210.76"
,,"2023-08-16 12:36:40","2024-07-13 04:15:16",8810,"safe.global.","A","safe.global.","13.226.210.84"
,,"2023-08-16 12:36:40","2024-07-13 04:15:16",8810,"safe.global.","A","safe.global.","13.226.210.95"
,,"2023-03-02 02:58:57","2024-07-12 11:52:33",1701,"safe.global.","A","safe.global.","18.66.192.5"
,,"2023-03-02 02:58:57","2024-07-12 11:52:33",1701,"safe.global.","A","safe.global.","18.66.192.78"
,,"2023-03-02 02:58:57","2024-07-12 11:52:33",1701,"safe.global.","A","safe.global.","18.66.192.93"
,,"2023-03-02 02:58:57","2024-07-12 11:52:33",1701,"safe.global.","A","safe.global.","18.66.192.127"
,,"2023-03-01 16:47:36","2024-07-11 19:51:48",835,"safe.global.","A","safe.global.","18.155.153.9"
,,"2023-03-01 16:47:36","2024-07-11 19:51:48",835,"safe.global.","A","safe.global.","18.155.153.46"
,,"2023-03-01 16:47:36","2024-07-11 19:51:48",835,"safe.global.","A","safe.global.","18.155.153.90"
,,"2023-03-01 16:47:36","2024-07-11 19:51:48",835,"safe.global.","A","safe.global.","18.155.153.118"
,,"2023-03-01 16:21:53","2024-07-12 19:52:58",2542,"safe.global.","A","safe.global.","18.155.173.87"
,,"2023-03-01 16:21:53","2024-07-12 19:52:58",2542,"safe.global.","A","safe.global.","18.155.173.89"
,,"2023-03-01 16:21:53","2024-07-12 19:52:58",2542,"safe.global.","A","safe.global.","18.155.173.110"
,,"2023-03-01 16:21:53","2024-07-12 19:52:58",2542,"safe.global.","A","safe.global.","18.155.173.115"
,,"2023-03-24 19:32:58","2024-07-11 00:16:21",79,"safe.global.","A","safe.global.","18.161.34.29"
,,"2023-03-24 19:32:58","2024-07-11 00:16:21",79,"safe.global.","A","safe.global.","18.161.34.30"
,,"2023-03-24 19:32:58","2024-07-11 00:16:21",79,"safe.global.","A","safe.global.","18.161.34.67"
,,"2023-03-24 19:32:58","2024-07-11 00:16:21",79,"safe.global.","A","safe.global.","18.161.34.68"
,,"2023-07-03 21:41:23","2024-07-05 19:39:49",4111,"safe.global.","A","safe.global.","18.165.140.5"
,,"2023-07-03 21:41:23","2024-07-05 19:39:49",4111,"safe.global.","A","safe.global.","18.165.140.40"
,,"2023-07-03 21:41:23","2024-07-05 19:39:49",4111,"safe.global.","A","safe.global.","18.165.140.42"
,,"2023-07-03 21:41:23","2024-07-05 19:39:49",4111,"safe.global.","A","safe.global.","18.165.140.127"
,,"2023-03-10 20:43:27","2024-07-01 01:44:42",151,"safe.global.","A","safe.global.","18.173.5.12"
,,"2023-03-10 20:43:27","2024-07-01 01:44:42",151,"safe.global.","A","safe.global.","18.173.5.30"
,,"2023-03-10 20:43:27","2024-07-01 01:44:42",151,"safe.global.","A","safe.global.","18.173.5.65"
,,"2023-03-10 20:43:27","2024-07-01 01:44:42",151,"safe.global.","A","safe.global.","18.173.5.81"
,,"2023-08-07 18:45:33","2024-07-06 07:11:59",11,"safe.global.","A","safe.global.","18.173.219.42"
,,"2023-08-07 18:45:33","2024-07-06 07:11:59",11,"safe.global.","A","safe.global.","18.173.219.68"
,,"2023-08-07 18:45:33","2024-07-06 07:11:59",11,"safe.global.","A","safe.global.","18.173.219.72"
,,"2023-08-07 18:45:33","2024-07-06 07:11:59",11,"safe.global.","A","safe.global.","18.173.219.114"
,,"2023-03-03 13:47:48","2024-07-10 11:00:19",866,"safe.global.","A","safe.global.","18.173.233.16"
,,"2023-03-03 13:47:48","2024-07-10 11:00:19",866,"safe.global.","A","safe.global.","18.173.233.80"
,,"2023-03-03 13:47:48","2024-07-10 11:00:19",866,"safe.global.","A","safe.global.","18.173.233.86"
,,"2023-03-03 13:47:48","2024-07-10 11:00:19",866,"safe.global.","A","safe.global.","18.173.233.107"
,,"2023-09-22 23:06:10","2024-07-13 07:08:24",66,"safe.global.","A","safe.global.","18.238.49.2"
,,"2023-09-22 23:06:10","2024-07-13 07:08:24",66,"safe.global.","A","safe.global.","18.238.49.37"
,,"2023-09-22 23:06:10","2024-07-13 07:08:24",66,"safe.global.","A","safe.global.","18.238.49.60"
,,"2023-09-22 23:06:10","2024-07-13 07:08:24",66,"safe.global.","A","safe.global.","18.238.49.105"
,,"2023-11-04 03:56:50","2024-07-11 07:41:17",29,"safe.global.","A","safe.global.","52.84.125.67"
,,"2023-11-04 03:56:50","2024-07-11 07:41:17",29,"safe.global.","A","safe.global.","52.84.125.92"
,,"2023-11-04 03:56:50","2024-07-11 07:41:17",29,"safe.global.","A","safe.global.","52.84.125.116"
,,"2023-11-04 03:56:50","2024-07-11 07:41:17",29,"safe.global.","A","safe.global.","52.84.125.121"
,,"2024-07-02 09:53:38","2024-07-02 09:53:38",1,"safe.global.","A","safe.global.","52.85.254.4"
,,"2024-07-02 09:53:38","2024-07-02 09:53:38",1,"safe.global.","A","safe.global.","52.85.254.56"
,,"2024-07-02 09:53:38","2024-07-02 09:53:38",1,"safe.global.","A","safe.global.","52.85.254.88"
,,"2024-07-02 09:53:38","2024-07-02 09:53:38",1,"safe.global.","A","safe.global.","52.85.254.118"
,,"2023-03-10 06:03:08","2024-07-12 00:04:33",231,"safe.global.","A","safe.global.","65.8.20.5"
,,"2023-03-10 06:03:08","2024-07-12 00:04:33",231,"safe.global.","A","safe.global.","65.8.20.24"
,,"2023-03-10 06:03:08","2024-07-12 00:04:33",231,"safe.global.","A","safe.global.","65.8.20.89"
,,"2023-03-10 06:03:08","2024-07-12 00:04:33",231,"safe.global.","A","safe.global.","65.8.20.124"
,,"2023-07-17 19:25:41","2024-07-11 19:29:55",115,"safe.global.","A","safe.global.","108.156.83.27"
,,"2023-07-17 19:25:41","2024-07-11 19:29:55",115,"safe.global.","A","safe.global.","108.156.83.89"
,,"2023-07-17 19:25:41","2024-07-11 19:29:55",115,"safe.global.","A","safe.global.","108.156.83.98"
,,"2023-07-17 19:25:41","2024-07-11 19:29:55",115,"safe.global.","A","safe.global.","108.156.83.123"
,,"2023-03-01 23:13:28","2024-07-11 03:42:36",1095,"safe.global.","A","safe.global.","108.157.150.60"
,,"2023-03-01 23:13:28","2024-07-11 03:42:36",1095,"safe.global.","A","safe.global.","108.157.150.97"
,,"2023-03-01 23:13:28","2024-07-11 03:42:36",1095,"safe.global.","A","safe.global.","108.157.150.105"
,,"2023-03-01 23:13:28","2024-07-11 03:42:36",1095,"safe.global.","A","safe.global.","108.157.150.115"
,,"2023-03-01 15:42:10","2024-07-05 05:58:58",120,"safe.global.","A","safe.global.","143.204.165.23"
,,"2023-03-01 15:42:10","2024-07-05 05:58:58",120,"safe.global.","A","safe.global.","143.204.165.115"
,,"2023-03-01 15:42:10","2024-07-05 05:58:58",120,"safe.global.","A","safe.global.","143.204.165.122"
,,"2023-03-01 15:42:10","2024-07-05 05:58:58",120,"safe.global.","A","safe.global.","143.204.165.128"
,,"2023-12-30 05:42:55","2024-07-05 17:33:14",16,"safe.global.","A","safe.global.","216.137.52.59"
,,"2023-12-30 05:42:55","2024-07-05 17:33:14",16,"safe.global.","A","safe.global.","216.137.52.60"
,,"2023-12-30 05:42:55","2024-07-05 17:33:14",16,"safe.global.","A","safe.global.","216.137.52.76"
,,"2023-12-30 05:42:55","2024-07-05 17:33:14",16,"safe.global.","A","safe.global.","216.137.52.107"
,,"2022-10-07 20:33:06","2024-07-13 03:53:27",2026633,"safe.global.","NS","global.","ns-40.awsdns-05.com."
,,"2022-10-07 20:33:06","2024-07-13 03:53:27",2026633,"safe.global.","NS","global.","ns-997.awsdns-60.net."
,,"2022-10-07 20:33:06","2024-07-13 03:53:27",2026633,"safe.global.","NS","global.","ns-1317.awsdns-36.org."
,,"2022-10-07 20:33:06","2024-07-13 03:53:27",2026633,"safe.global.","NS","global.","ns-1801.awsdns-33.co.uk."
,,"2022-10-07 20:33:06","2024-07-12 17:36:17",6767975,"safe.global.","NS","safe.global.","ns-40.awsdns-05.com."
,,"2022-10-07 20:33:06","2024-07-12 17:36:17",6767975,"safe.global.","NS","safe.global.","ns-997.awsdns-60.net."
,,"2022-10-07 20:33:06","2024-07-12 17:36:17",6767975,"safe.global.","NS","safe.global.","ns-1317.awsdns-36.org."
,,"2022-10-07 20:33:06","2024-07-12 17:36:17",6767975,"safe.global.","NS","safe.global.","ns-1801.awsdns-33.co.uk."
,,"2022-10-07 23:27:32","2024-07-12 22:30:14",3744307,"safe.global.","SOA","safe.global.","ns-1317.awsdns-36.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
,,"2022-05-02 10:33:51","2024-07-11 08:05:05",445,"safe.global.","MX","safe.global.","1 aspmx.l.google.com."
,,"2022-05-02 10:33:51","2024-07-11 08:05:05",445,"safe.global.","MX","safe.global.","5 alt1.aspmx.l.google.com."
,,"2022-05-02 10:33:51","2024-07-11 08:05:05",445,"safe.global.","MX","safe.global.","5 alt2.aspmx.l.google.com."
,,"2022-05-02 10:33:51","2024-07-11 08:05:05",445,"safe.global.","MX","safe.global.","10 alt3.aspmx.l.google.com."
,,"2022-05-02 10:33:51","2024-07-11 08:05:05",445,"safe.global.","MX","safe.global.","10 alt4.aspmx.l.google.com."
