zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2024-02-21 23:10:24","2024-07-10 23:13:34",,,140,"satoshiprotocol.org.","NS","org.","ns1.cas.nsone.net."
"2024-02-21 23:10:24","2024-07-10 23:13:34",,,140,"satoshiprotocol.org.","NS","org.","ns2.cas.nsone.net."
"2024-02-21 23:10:24","2024-07-10 23:13:34",,,140,"satoshiprotocol.org.","NS","org.","ns3.cas.nsone.net."
"2024-02-21 23:10:24","2024-07-10 23:13:34",,,140,"satoshiprotocol.org.","NS","org.","ns4.cas.nsone.net."
"2024-07-11 23:09:27","2024-07-11 23:09:27",,,1,"satoshiprotocol.org.","NS","org.","rose.ns.cloudflare.com."
"2024-07-11 23:09:27","2024-07-11 23:09:27",,,1,"satoshiprotocol.org.","NS","org.","ryan.ns.cloudflare.com."
,,"2024-07-07 15:37:44","2024-07-12 16:52:02",8,"satoshiprotocol.org.","A","satoshiprotocol.org.","75.2.70.75"
,,"2024-07-07 15:37:44","2024-07-12 16:52:02",8,"satoshiprotocol.org.","A","satoshiprotocol.org.","99.83.190.102"
,,"2024-02-21 12:03:32","2024-07-07 03:07:00",451,"satoshiprotocol.org.","A","satoshiprotocol.org.","76.76.21.21"
,,"2024-02-21 12:03:32","2024-07-11 15:17:59",2130,"satoshiprotocol.org.","NS","org.","ns1.cas.nsone.net."
,,"2024-02-21 12:03:32","2024-07-11 15:17:59",2130,"satoshiprotocol.org.","NS","org.","ns2.cas.nsone.net."
,,"2024-02-21 12:03:32","2024-07-11 15:17:59",2130,"satoshiprotocol.org.","NS","org.","ns3.cas.nsone.net."
,,"2024-02-21 12:03:32","2024-07-11 15:17:59",2130,"satoshiprotocol.org.","NS","org.","ns4.cas.nsone.net."
,,"2024-07-11 16:00:29","2024-07-13 03:11:07",62,"satoshiprotocol.org.","NS","org.","rose.ns.cloudflare.com."
,,"2024-07-11 16:00:29","2024-07-13 03:11:07",62,"satoshiprotocol.org.","NS","org.","ryan.ns.cloudflare.com."
,,"2024-03-03 17:00:50","2024-07-10 17:26:27",106,"satoshiprotocol.org.","SOA","satoshiprotocol.org.","ns1.cas.nsone.net. hostmaster.nsone.net. 1708515880 43200 7200 1209600 3600"
,,"2024-07-11 22:18:42","2024-07-12 16:52:02",3,"satoshiprotocol.org.","SOA","satoshiprotocol.org.","rose.ns.cloudflare.com. dns.cloudflare.com. 2346200170 10000 2400 604800 1800"
