zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"sense.finance.","NS","finance.","ns1.vercel-dns.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1126,"sense.finance.","NS","finance.","ns2.vercel-dns.com."
,,"2022-05-11 17:01:37","2024-07-11 07:22:09",323,"sense.finance.","A","sense.finance.","76.76.21.9"
,,"2022-05-11 17:01:37","2024-07-11 07:22:09",323,"sense.finance.","A","sense.finance.","76.76.21.61"
,,"2022-04-03 03:21:36","2024-07-10 14:54:13",334,"sense.finance.","A","sense.finance.","76.76.21.22"
,,"2022-04-03 03:21:36","2024-07-10 14:54:13",334,"sense.finance.","A","sense.finance.","76.76.21.93"
,,"2022-03-19 16:53:37","2024-07-03 11:41:47",356,"sense.finance.","A","sense.finance.","76.76.21.22"
,,"2022-03-19 16:53:37","2024-07-03 11:41:47",356,"sense.finance.","A","sense.finance.","76.76.21.98"
,,"2022-05-12 18:10:58","2024-07-13 06:24:32",339,"sense.finance.","A","sense.finance.","76.76.21.22"
,,"2022-05-12 18:10:58","2024-07-13 06:24:32",339,"sense.finance.","A","sense.finance.","76.76.21.123"
,,"2022-04-05 17:51:33","2024-07-12 11:44:20",328,"sense.finance.","A","sense.finance.","76.76.21.22"
,,"2022-04-05 17:51:33","2024-07-12 11:44:20",328,"sense.finance.","A","sense.finance.","76.76.21.142"
,,"2022-02-23 09:06:06","2024-07-10 23:03:08",364,"sense.finance.","A","sense.finance.","76.76.21.22"
,,"2022-02-23 09:06:06","2024-07-10 23:03:08",364,"sense.finance.","A","sense.finance.","76.76.21.241"
,,"2022-03-08 12:31:46","2024-07-02 23:38:32",352,"sense.finance.","A","sense.finance.","76.76.21.61"
,,"2022-03-08 12:31:46","2024-07-02 23:38:32",352,"sense.finance.","A","sense.finance.","76.76.21.164"
,,"2022-02-25 10:12:53","2024-07-07 01:24:12",337,"sense.finance.","A","sense.finance.","76.76.21.93"
,,"2022-02-25 10:12:53","2024-07-07 01:24:12",337,"sense.finance.","A","sense.finance.","76.76.21.142"
,,"2022-05-15 00:58:48","2024-07-08 00:33:32",331,"sense.finance.","A","sense.finance.","76.76.21.93"
,,"2022-05-15 00:58:48","2024-07-08 00:33:32",331,"sense.finance.","A","sense.finance.","76.76.21.164"
,,"2022-03-08 12:31:47","2024-07-13 09:31:49",345,"sense.finance.","A","sense.finance.","76.76.21.93"
,,"2022-03-08 12:31:47","2024-07-13 09:31:49",345,"sense.finance.","A","sense.finance.","76.76.21.241"
,,"2022-01-24 21:55:04","2024-07-10 23:03:08",367,"sense.finance.","A","sense.finance.","76.76.21.98"
,,"2022-01-24 21:55:04","2024-07-10 23:03:08",367,"sense.finance.","A","sense.finance.","76.76.21.123"
,,"2022-03-02 23:59:12","2024-07-11 15:35:42",334,"sense.finance.","A","sense.finance.","76.76.21.98"
,,"2022-03-02 23:59:12","2024-07-11 15:35:42",334,"sense.finance.","A","sense.finance.","76.76.21.142"
,,"2022-05-05 13:34:17","2024-07-11 15:35:42",330,"sense.finance.","A","sense.finance.","76.76.21.123"
,,"2022-05-05 13:34:17","2024-07-11 15:35:42",330,"sense.finance.","A","sense.finance.","76.76.21.164"
,,"2022-04-26 01:52:27","2024-07-10 13:26:30",350,"sense.finance.","A","sense.finance.","76.76.21.123"
,,"2022-04-26 01:52:27","2024-07-10 13:26:30",350,"sense.finance.","A","sense.finance.","76.76.21.241"
,,"2022-02-07 09:20:57","2024-07-10 23:03:08",328,"sense.finance.","A","sense.finance.","76.76.21.164"
,,"2022-02-07 09:20:57","2024-07-10 23:03:08",328,"sense.finance.","A","sense.finance.","76.76.21.241"
,,"2021-02-19 05:54:25","2024-07-12 17:58:30",874908,"sense.finance.","NS","finance.","ns1.vercel-dns.com."
,,"2021-02-19 05:54:25","2024-07-12 17:58:30",874908,"sense.finance.","NS","finance.","ns2.vercel-dns.com."
,,"2021-02-19 05:54:25","2024-07-13 02:12:34",4776,"sense.finance.","NS","sense.finance.","ns1.vercel-dns.com."
,,"2021-02-19 05:54:25","2024-07-13 02:12:34",4776,"sense.finance.","NS","sense.finance.","ns2.vercel-dns.com."
,,"2022-09-27 03:03:31","2024-07-03 16:11:18",303076,"sense.finance.","SOA","sense.finance.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652994981 43200 7200 1209600 60"
,,"2024-07-03 21:53:25","2024-07-12 16:48:10",661,"sense.finance.","SOA","sense.finance.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652994982 43200 7200 1209600 600"
,,"2021-05-06 19:39:20","2024-07-05 20:06:31",1171,"sense.finance.","MX","sense.finance.","1 aspmx.l.google.com."
,,"2021-05-06 19:39:20","2024-07-05 20:06:31",1171,"sense.finance.","MX","sense.finance.","5 alt1.aspmx.l.google.com."
,,"2021-05-06 19:39:20","2024-07-05 20:06:31",1171,"sense.finance.","MX","sense.finance.","5 alt2.aspmx.l.google.com."
,,"2021-05-06 19:39:20","2024-07-05 20:06:31",1171,"sense.finance.","MX","sense.finance.","10 alt3.aspmx.l.google.com."
,,"2021-05-06 19:39:20","2024-07-05 20:06:31",1171,"sense.finance.","MX","sense.finance.","10 alt4.aspmx.l.google.com."
,,"2021-05-06 19:39:20","2024-07-05 20:06:31",1171,"sense.finance.","MX","sense.finance.","15 nxj5pcajjaygquwxpwiejpoz7ao5osmt4unhy47r3mmby6gxfneq.mx-verification.google.com."
