zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-09-26 00:04:57","2024-07-11 23:58:12",,,655,"sonne.finance.","NS","finance.","macy.ns.cloudflare.com."
"2022-09-26 00:04:57","2024-07-11 23:58:12",,,655,"sonne.finance.","NS","finance.","mustafa.ns.cloudflare.com."
,,"2023-03-17 17:21:12","2024-07-13 07:03:33",5139,"sonne.finance.","A","sonne.finance.","104.26.0.137"
,,"2023-03-17 17:21:12","2024-07-13 07:03:33",5139,"sonne.finance.","A","sonne.finance.","104.26.1.137"
,,"2023-03-17 17:21:12","2024-07-13 07:03:33",5139,"sonne.finance.","A","sonne.finance.","172.67.69.229"
,,"2023-03-27 00:12:03","2024-07-13 02:38:20",7553,"sonne.finance.","A","sonne.finance.","188.114.98.229"
,,"2023-03-27 00:12:03","2024-07-13 02:38:20",7553,"sonne.finance.","A","sonne.finance.","188.114.99.229"
,,"2022-09-25 10:24:51","2024-07-13 10:53:27",202824,"sonne.finance.","NS","finance.","macy.ns.cloudflare.com."
,,"2022-09-25 10:24:51","2024-07-13 10:53:27",202824,"sonne.finance.","NS","finance.","mustafa.ns.cloudflare.com."
,,"2022-10-23 12:15:30","2024-07-11 00:35:33",114,"sonne.finance.","NS","sonne.finance.","macy.ns.cloudflare.com."
,,"2022-10-23 12:15:30","2024-07-11 00:35:33",114,"sonne.finance.","NS","sonne.finance.","mustafa.ns.cloudflare.com."
,,"2024-05-13 10:17:45","2024-07-11 00:53:05",39,"sonne.finance.","SOA","sonne.finance.","macy.ns.cloudflare.com. dns.cloudflare.com. 2341077682 10000 2400 604800 1800"
,,"2023-03-17 17:21:12","2024-07-13 07:03:33",3519,"sonne.finance.","AAAA","sonne.finance.","2606:4700:20::681a:89"
,,"2023-03-17 17:21:12","2024-07-13 07:03:33",3519,"sonne.finance.","AAAA","sonne.finance.","2606:4700:20::681a:189"
,,"2023-03-17 17:21:12","2024-07-13 07:03:33",3519,"sonne.finance.","AAAA","sonne.finance.","2606:4700:20::ac43:45e5"
,,"2023-03-27 00:12:03","2024-07-13 02:38:17",2003,"sonne.finance.","AAAA","sonne.finance.","2a06:98c1:3122:e000::5"
,,"2023-03-27 00:12:03","2024-07-13 02:38:17",2003,"sonne.finance.","AAAA","sonne.finance.","2a06:98c1:3123:e000::5"
,,"2023-03-27 00:12:03","2024-07-13 02:38:19",2712,"sonne.finance.","HTTPS","sonne.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,"2023-03-17 17:52:34","2024-07-13 00:00:45",3381,"sonne.finance.","HTTPS","sonne.finance.","1 . alpn=\"h2\" ipv4hint=104.26.0.137,104.26.1.137,172.67.69.229 ipv6hint=2606:4700:20::681a:89,2606:4700:20::681a:189,2606:4700:20::ac43:45e5"
