zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2024-07-11 23:09:27","2024-07-11 23:09:27",,,1,"stabble.org.","NS","org.","haley.ns.cloudflare.com."
"2024-07-11 23:09:27","2024-07-11 23:09:27",,,1,"stabble.org.","NS","org.","rohin.ns.cloudflare.com."
"2023-08-10 23:13:02","2024-07-10 23:13:34",,,335,"stabble.org.","NS","org.","ns-cloud-d1.googledomains.com."
"2023-08-10 23:13:02","2024-07-10 23:13:34",,,335,"stabble.org.","NS","org.","ns-cloud-d2.googledomains.com."
"2023-08-10 23:13:02","2024-07-10 23:13:34",,,335,"stabble.org.","NS","org.","ns-cloud-d3.googledomains.com."
"2023-08-10 23:13:02","2024-07-10 23:13:34",,,335,"stabble.org.","NS","org.","ns-cloud-d4.googledomains.com."
,,"2024-07-12 08:32:14","2024-07-13 01:09:22",2,"stabble.org.","A","stabble.org.","104.21.46.164"
,,"2024-07-12 08:32:14","2024-07-13 01:09:22",2,"stabble.org.","A","stabble.org.","172.67.140.181"
,,"2023-08-24 12:09:47","2024-07-11 18:43:06",579,"stabble.org.","A","stabble.org.","199.36.158.100"
,,"2024-07-11 18:43:06","2024-07-13 01:09:42",34,"stabble.org.","NS","org.","haley.ns.cloudflare.com."
,,"2024-07-11 18:43:06","2024-07-13 01:09:42",34,"stabble.org.","NS","org.","rohin.ns.cloudflare.com."
,,"2023-08-22 13:30:58","2024-07-11 05:48:24",2152,"stabble.org.","NS","org.","ns-cloud-d1.googledomains.com."
,,"2023-08-22 13:30:58","2024-07-11 05:48:24",2152,"stabble.org.","NS","org.","ns-cloud-d2.googledomains.com."
,,"2023-08-22 13:30:58","2024-07-11 05:48:24",2152,"stabble.org.","NS","org.","ns-cloud-d3.googledomains.com."
,,"2023-08-22 13:30:58","2024-07-11 05:48:24",2152,"stabble.org.","NS","org.","ns-cloud-d4.googledomains.com."
,,"2024-06-18 12:14:27","2024-07-09 20:08:37",31,"stabble.org.","SOA","stabble.org.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 34 21600 3600 259200 300"
,,"2024-07-12 08:32:13","2024-07-13 01:09:22",2,"stabble.org.","AAAA","stabble.org.","2606:4700:3030::6815:2ea4"
,,"2024-07-12 08:32:13","2024-07-13 01:09:22",2,"stabble.org.","AAAA","stabble.org.","2606:4700:3037::ac43:8cb5"
,,"2024-07-12 09:38:31","2024-07-12 09:38:31",1,"stabble.org.","AAAA","stabble.org.","2a06:98c1:3120::3"
,,"2024-07-12 09:38:31","2024-07-12 09:38:31",1,"stabble.org.","AAAA","stabble.org.","2a06:98c1:3121::3"
,,"2024-07-12 13:13:12","2024-07-12 13:13:12",1,"stabble.org.","HTTPS","stabble.org.","1 . alpn=\"h3,h2\" ipv4hint=104.21.46.164,172.67.140.181 ipv6hint=2606:4700:3030::6815:2ea4,2606:4700:3037::ac43:8cb5"
