zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"starlay.finance.","NS","finance.","ns-270.awsdns-33.com."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"starlay.finance.","NS","finance.","ns-601.awsdns-11.net."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"starlay.finance.","NS","finance.","ns-1068.awsdns-05.org."
"2023-01-26 00:01:21","2024-07-11 23:58:12",,,533,"starlay.finance.","NS","finance.","ns-1894.awsdns-44.co.uk."
,,"2022-02-20 16:03:09","2024-07-13 02:46:02",11019,"starlay.finance.","A","starlay.finance.","76.76.21.21"
,,"2023-01-25 16:25:35","2024-07-13 02:46:05",10879,"starlay.finance.","NS","finance.","ns-270.awsdns-33.com."
,,"2023-01-25 16:25:35","2024-07-13 02:46:05",10879,"starlay.finance.","NS","finance.","ns-601.awsdns-11.net."
,,"2023-01-25 16:25:35","2024-07-13 02:46:05",10879,"starlay.finance.","NS","finance.","ns-1068.awsdns-05.org."
,,"2023-01-25 16:25:35","2024-07-13 02:46:05",10879,"starlay.finance.","NS","finance.","ns-1894.awsdns-44.co.uk."
,,"2023-01-25 16:25:35","2024-07-13 10:04:01",8255,"starlay.finance.","NS","starlay.finance.","ns-270.awsdns-33.com."
,,"2023-01-25 16:25:35","2024-07-13 10:04:01",8255,"starlay.finance.","NS","starlay.finance.","ns-601.awsdns-11.net."
,,"2023-01-25 16:25:35","2024-07-13 10:04:01",8255,"starlay.finance.","NS","starlay.finance.","ns-1068.awsdns-05.org."
,,"2023-01-25 16:25:35","2024-07-13 10:04:01",8255,"starlay.finance.","NS","starlay.finance.","ns-1894.awsdns-44.co.uk."
,,"2023-01-25 18:47:31","2024-07-13 02:46:02",2671,"starlay.finance.","SOA","starlay.finance.","ns-1894.awsdns-44.co.uk. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
,,"2022-02-20 16:06:21","2024-07-07 12:56:53",75,"starlay.finance.","MX","starlay.finance.","1 aspmx.l.google.com."
,,"2022-02-20 16:06:21","2024-07-07 12:56:53",75,"starlay.finance.","MX","starlay.finance.","5 alt1.aspmx.l.google.com."
,,"2022-02-20 16:06:21","2024-07-07 12:56:53",75,"starlay.finance.","MX","starlay.finance.","5 alt2.aspmx.l.google.com."
,,"2022-02-20 16:06:21","2024-07-07 12:56:53",75,"starlay.finance.","MX","starlay.finance.","10 alt3.aspmx.l.google.com."
,,"2022-02-20 16:06:21","2024-07-07 12:56:53",75,"starlay.finance.","MX","starlay.finance.","10 alt4.aspmx.l.google.com."
