zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-06-19 22:08:41","2024-07-11 22:58:21",,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
"2022-06-19 22:08:41","2024-07-11 22:58:21",,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
"2022-06-19 22:08:41","2024-07-11 22:58:21",,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
"2022-06-19 22:08:41","2024-07-11 22:58:21",,,750,"stcelo.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,"2022-08-16 15:16:30","2024-07-12 20:04:40",3007,"stcelo.xyz.","A","stcelo.xyz.","76.76.21.21"
,,"2022-06-23 03:45:12","2024-07-13 04:14:02",137466,"stcelo.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
,,"2022-06-23 03:45:12","2024-07-13 04:14:02",137466,"stcelo.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
,,"2022-06-23 03:45:12","2024-07-13 04:14:02",137466,"stcelo.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
,,"2022-06-23 03:45:12","2024-07-13 04:14:02",137466,"stcelo.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,"2022-09-20 15:36:47","2024-07-12 18:37:51",2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d1.googledomains.com."
,,"2022-09-20 15:36:47","2024-07-12 18:37:51",2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d2.googledomains.com."
,,"2022-09-20 15:36:47","2024-07-12 18:37:51",2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d3.googledomains.com."
,,"2022-09-20 15:36:47","2024-07-12 18:37:51",2880,"stcelo.xyz.","NS","stcelo.xyz.","ns-cloud-d4.googledomains.com."
,,"2024-05-18 09:30:22","2024-07-12 21:03:40",2273992,"stcelo.xyz.","SOA","stcelo.xyz.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 9 21600 3600 259200 300"
