zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-07-28 00:33:12","2024-07-11 23:58:12",,,1058,"steer.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
"2021-07-28 00:33:12","2024-07-11 23:58:12",,,1058,"steer.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
"2021-07-28 00:33:12","2024-07-11 23:58:12",,,1058,"steer.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
"2021-07-28 00:33:12","2024-07-11 23:58:12",,,1058,"steer.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,"2021-04-28 20:18:53","2024-07-13 00:49:06",5159,"steer.finance.","A","steer.finance.","104.131.188.172"
,,"2021-04-04 23:04:47","2024-07-13 05:20:23",92344,"steer.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,"2021-04-04 23:04:47","2024-07-13 05:20:23",92344,"steer.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,"2021-04-04 23:04:47","2024-07-13 05:20:23",92344,"steer.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,"2021-04-04 23:04:47","2024-07-13 05:20:23",92344,"steer.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,"2021-08-11 11:34:26","2024-07-04 00:26:03",218,"steer.finance.","NS","steer.finance.","ns-cloud-e1.googledomains.com."
,,"2021-08-11 11:34:26","2024-07-04 00:26:03",218,"steer.finance.","NS","steer.finance.","ns-cloud-e2.googledomains.com."
,,"2021-08-11 11:34:26","2024-07-04 00:26:03",218,"steer.finance.","NS","steer.finance.","ns-cloud-e3.googledomains.com."
,,"2021-08-11 11:34:26","2024-07-04 00:26:03",218,"steer.finance.","NS","steer.finance.","ns-cloud-e4.googledomains.com."
,,"2024-06-03 04:59:13","2024-07-13 02:50:44",584,"steer.finance.","SOA","steer.finance.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 29 21600 3600 259200 300"
,,"2021-08-24 20:32:58","2024-07-04 00:26:03",101,"steer.finance.","MX","steer.finance.","1 aspmx.l.google.com."
,,"2021-08-24 20:32:58","2024-07-04 00:26:03",101,"steer.finance.","MX","steer.finance.","5 alt1.aspmx.l.google.com."
,,"2021-08-24 20:32:58","2024-07-04 00:26:03",101,"steer.finance.","MX","steer.finance.","5 alt2.aspmx.l.google.com."
,,"2021-08-24 20:32:58","2024-07-04 00:26:03",101,"steer.finance.","MX","steer.finance.","10 alt3.aspmx.l.google.com."
,,"2021-08-24 20:32:58","2024-07-04 00:26:03",101,"steer.finance.","MX","steer.finance.","10 alt4.aspmx.l.google.com."
