zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-12-13 00:06:09","2024-07-11 23:58:12",,,577,"tashi.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
"2022-12-13 00:06:09","2024-07-11 23:58:12",,,577,"tashi.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
"2022-12-13 00:06:09","2024-07-11 23:58:12",,,577,"tashi.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
"2022-12-13 00:06:09","2024-07-11 23:58:12",,,577,"tashi.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2023-04-13 14:00:04","2024-07-13 08:05:31",693,"tashi.finance.","A","tashi.finance.","34.149.194.141"
,,"2022-12-13 07:28:24","2024-07-13 01:12:52",4159,"tashi.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,"2022-12-13 07:28:24","2024-07-13 01:12:52",4159,"tashi.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,"2022-12-13 07:28:24","2024-07-13 01:12:52",4159,"tashi.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,"2022-12-13 07:28:24","2024-07-13 01:12:52",4159,"tashi.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,"2022-12-13 07:28:25","2024-07-08 15:11:12",102,"tashi.finance.","NS","tashi.finance.","ns-cloud-b1.googledomains.com."
,,"2022-12-13 07:28:25","2024-07-08 15:11:12",102,"tashi.finance.","NS","tashi.finance.","ns-cloud-b2.googledomains.com."
,,"2022-12-13 07:28:25","2024-07-08 15:11:12",102,"tashi.finance.","NS","tashi.finance.","ns-cloud-b3.googledomains.com."
,,"2022-12-13 07:28:25","2024-07-08 15:11:12",102,"tashi.finance.","NS","tashi.finance.","ns-cloud-b4.googledomains.com."
,,"2024-06-07 21:58:53","2024-07-12 05:05:34",49,"tashi.finance.","SOA","tashi.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 13 21600 3600 259200 300"
,,"2022-12-19 02:43:49","2024-07-01 07:46:27",46,"tashi.finance.","MX","tashi.finance.","1 aspmx.l.google.com."
,,"2022-12-19 02:43:49","2024-07-01 07:46:27",46,"tashi.finance.","MX","tashi.finance.","5 alt1.aspmx.l.google.com."
,,"2022-12-19 02:43:49","2024-07-01 07:46:27",46,"tashi.finance.","MX","tashi.finance.","5 alt2.aspmx.l.google.com."
,,"2022-12-19 02:43:49","2024-07-01 07:46:27",46,"tashi.finance.","MX","tashi.finance.","10 alt3.aspmx.l.google.com."
,,"2022-12-19 02:43:49","2024-07-01 07:46:27",46,"tashi.finance.","MX","tashi.finance.","10 alt4.aspmx.l.google.com."
