zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2019-08-16 00:34:26","2024-07-12 00:10:21",,,1313,"tbtc.network.","NS","network.","nora.ns.cloudflare.com."
"2019-08-16 00:34:26","2024-07-12 00:10:21",,,1313,"tbtc.network.","NS","network.","vick.ns.cloudflare.com."
,,"2021-01-15 02:10:59","2024-07-12 16:38:12",8227,"tbtc.network.","A","tbtc.network.","104.21.49.71"
,,"2021-01-15 02:10:59","2024-07-12 16:38:12",8227,"tbtc.network.","A","tbtc.network.","172.67.160.164"
,,"2023-02-16 16:19:04","2024-07-13 02:01:52",4,"tbtc.network.","A","tbtc.network.","188.114.96.4"
,,"2023-02-16 16:19:04","2024-07-13 02:01:52",4,"tbtc.network.","A","tbtc.network.","188.114.97.4"
,,"2019-08-15 23:46:32","2024-07-12 16:38:12",34396,"tbtc.network.","NS","network.","nora.ns.cloudflare.com."
,,"2019-08-15 23:46:32","2024-07-12 16:38:12",34396,"tbtc.network.","NS","network.","vick.ns.cloudflare.com."
,,"2019-09-26 05:07:20","2024-07-11 11:04:58",327,"tbtc.network.","NS","tbtc.network.","nora.ns.cloudflare.com."
,,"2019-09-26 05:07:20","2024-07-11 11:04:58",327,"tbtc.network.","NS","tbtc.network.","vick.ns.cloudflare.com."
,,"2024-06-29 01:45:26","2024-07-04 10:57:01",43,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345111222 10000 2400 604800 1800"
,,"2024-07-06 14:50:36","2024-07-11 03:05:59",45,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345730440 10000 2400 604800 1800"
,,"2024-07-11 11:37:08","2024-07-11 11:37:08",1,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2346165728 10000 2400 604800 1800"
,,"2024-07-12 04:31:43","2024-07-13 00:08:05",1,"tbtc.network.","SOA","tbtc.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2346239951 10000 2400 604800 1800"
,,"2021-01-15 02:10:59","2024-07-12 16:38:12",4408,"tbtc.network.","AAAA","tbtc.network.","2606:4700:3035::6815:3147"
,,"2021-01-15 02:10:59","2024-07-12 16:38:12",4408,"tbtc.network.","AAAA","tbtc.network.","2606:4700:3037::ac43:a0a4"
,,"2023-05-31 11:17:58","2024-07-12 16:38:12",766,"tbtc.network.","HTTPS","tbtc.network.","1 . alpn=\"h3,h2\" ipv4hint=104.21.49.71,172.67.160.164 ipv6hint=2606:4700:3035::6815:3147,2606:4700:3037::ac43:a0a4"
