zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-05-17 00:07:59","2024-07-11 23:58:12",,,422,"term.finance.","NS","finance.","ns-144.awsdns-18.com."
"2023-05-17 00:07:59","2024-07-11 23:58:12",,,422,"term.finance.","NS","finance.","ns-917.awsdns-50.net."
"2023-05-17 00:07:59","2024-07-11 23:58:12",,,422,"term.finance.","NS","finance.","ns-1096.awsdns-09.org."
"2023-05-17 00:07:59","2024-07-11 23:58:12",,,422,"term.finance.","NS","finance.","ns-1602.awsdns-08.co.uk."
,,"2023-10-05 18:21:22","2024-07-12 11:08:36",839,"term.finance.","A","term.finance.","75.2.70.75"
,,"2023-10-05 18:21:22","2024-07-12 11:08:36",839,"term.finance.","A","term.finance.","99.83.190.102"
,,"2023-05-16 22:18:53","2024-07-12 20:14:24",4986,"term.finance.","NS","finance.","ns-144.awsdns-18.com."
,,"2023-05-16 22:18:53","2024-07-12 20:14:24",4986,"term.finance.","NS","finance.","ns-917.awsdns-50.net."
,,"2023-05-16 22:18:53","2024-07-12 20:14:24",4986,"term.finance.","NS","finance.","ns-1096.awsdns-09.org."
,,"2023-05-16 22:18:53","2024-07-12 20:14:24",4986,"term.finance.","NS","finance.","ns-1602.awsdns-08.co.uk."
,,"2023-05-17 16:30:17","2024-07-12 22:32:13",937,"term.finance.","NS","term.finance.","ns-144.awsdns-18.com."
,,"2023-05-17 16:30:17","2024-07-12 22:32:13",937,"term.finance.","NS","term.finance.","ns-917.awsdns-50.net."
,,"2023-05-17 16:30:17","2024-07-12 22:32:13",937,"term.finance.","NS","term.finance.","ns-1096.awsdns-09.org."
,,"2023-05-17 16:30:17","2024-07-12 22:32:13",937,"term.finance.","NS","term.finance.","ns-1602.awsdns-08.co.uk."
,,"2023-05-16 22:18:58","2024-07-12 11:08:58",1159,"term.finance.","SOA","term.finance.","ns-1096.awsdns-09.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
