zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-08-31 00:37:34","2024-07-11 23:58:03",,,1024,"thedragonslair.farm.","NS","farm.","dns1.p07.nsone.net."
"2021-08-31 00:37:34","2024-07-11 23:58:03",,,1024,"thedragonslair.farm.","NS","farm.","dns2.p07.nsone.net."
"2021-08-31 00:37:34","2024-07-11 23:58:03",,,1024,"thedragonslair.farm.","NS","farm.","dns3.p07.nsone.net."
"2021-08-31 00:37:34","2024-07-11 23:58:03",,,1024,"thedragonslair.farm.","NS","farm.","dns4.p07.nsone.net."
,,"2023-09-11 18:23:20","2024-07-07 02:29:41",26,"thedragonslair.farm.","A","thedragonslair.farm.","3.70.101.28"
,,"2023-09-11 18:23:20","2024-07-07 02:29:41",26,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.94.96"
,,"2023-03-27 07:19:05","2024-07-07 02:31:00",23,"thedragonslair.farm.","A","thedragonslair.farm.","3.72.140.173"
,,"2023-03-27 07:19:05","2024-07-07 02:31:00",23,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.231.252"
,,"2023-03-02 10:25:30","2024-07-11 00:00:25",32,"thedragonslair.farm.","A","thedragonslair.farm.","3.72.140.173"
,,"2023-03-02 10:25:30","2024-07-11 00:00:25",32,"thedragonslair.farm.","A","thedragonslair.farm.","35.156.224.161"
,,"2023-09-09 01:26:45","2024-07-11 00:00:27",18,"thedragonslair.farm.","A","thedragonslair.farm.","3.72.140.173"
,,"2023-09-09 01:26:45","2024-07-11 00:00:27",18,"thedragonslair.farm.","A","thedragonslair.farm.","52.58.254.253"
,,"2023-09-18 18:13:13","2024-07-03 18:55:48",10,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.94.96"
,,"2023-09-18 18:13:13","2024-07-03 18:55:48",10,"thedragonslair.farm.","A","thedragonslair.farm.","35.156.224.161"
,,"2023-09-18 13:09:19","2024-07-03 18:55:48",28,"thedragonslair.farm.","A","thedragonslair.farm.","18.192.231.252"
,,"2023-09-18 13:09:19","2024-07-03 18:55:48",28,"thedragonslair.farm.","A","thedragonslair.farm.","52.58.254.253"
,,"2023-10-30 08:34:41","2024-07-12 20:26:52",9,"thedragonslair.farm.","A","thedragonslair.farm.","35.156.224.161"
,,"2023-10-30 08:34:41","2024-07-12 20:26:52",9,"thedragonslair.farm.","A","thedragonslair.farm.","52.58.254.253"
,,"2021-08-30 03:11:23","2024-07-12 20:26:52",15805,"thedragonslair.farm.","NS","farm.","dns1.p07.nsone.net."
,,"2021-08-30 03:11:23","2024-07-12 20:26:52",15805,"thedragonslair.farm.","NS","farm.","dns2.p07.nsone.net."
,,"2021-08-30 03:11:23","2024-07-12 20:26:52",15805,"thedragonslair.farm.","NS","farm.","dns3.p07.nsone.net."
,,"2021-08-30 03:11:23","2024-07-12 20:26:52",15805,"thedragonslair.farm.","NS","farm.","dns4.p07.nsone.net."
,,"2021-09-01 05:38:40","2024-07-06 13:15:00",61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns1.p07.nsone.net."
,,"2021-09-01 05:38:40","2024-07-06 13:15:00",61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns2.p07.nsone.net."
,,"2021-09-01 05:38:40","2024-07-06 13:15:00",61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns3.p07.nsone.net."
,,"2021-09-01 05:38:40","2024-07-06 13:15:00",61,"thedragonslair.farm.","NS","thedragonslair.farm.","dns4.p07.nsone.net."
,,"2022-09-07 21:55:40","2024-07-07 02:31:00",3319,"thedragonslair.farm.","SOA","thedragonslair.farm.","dns1.p07.nsone.net. domains+netlify.netlify.com. 1662386515 43200 7200 1209600 3600"
,,"2022-11-22 22:15:01","2024-07-11 00:00:25",37,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb00::c8"
,,"2022-11-22 22:15:01","2024-07-11 00:00:25",37,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb02::c8"
,,"2022-12-04 22:26:03","2024-07-11 00:00:25",40,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb01::c8"
,,"2022-12-04 22:26:03","2024-07-11 00:00:25",40,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb02::c8"
,,"2023-09-02 20:38:19","2024-07-07 02:29:41",6,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:275:cb01::c8"
,,"2023-09-02 20:38:19","2024-07-07 02:29:41",6,"thedragonslair.farm.","AAAA","thedragonslair.farm.","2a05:d014:58f:6200::64"
