zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-12-16 22:50:20","2024-07-10 22:50:20",,,474,"thegeniustoken.com.","NS","com.","ns1.a2hosting.com."
"2022-12-16 22:50:20","2024-07-10 22:50:20",,,474,"thegeniustoken.com.","NS","com.","ns2.a2hosting.com."
"2022-12-16 22:50:20","2024-07-10 22:50:20",,,474,"thegeniustoken.com.","NS","com.","ns3.a2hosting.com."
"2022-12-16 22:50:20","2024-07-10 22:50:20",,,474,"thegeniustoken.com.","NS","com.","ns4.a2hosting.com."
,,"2022-12-30 15:55:28","2024-07-13 01:02:27",1187,"thegeniustoken.com.","A","thegeniustoken.com.","106.0.62.73"
,,"2022-12-18 03:20:12","2024-07-13 01:02:27",3207,"thegeniustoken.com.","NS","com.","ns1.a2hosting.com."
,,"2022-12-18 03:20:12","2024-07-13 01:02:27",3207,"thegeniustoken.com.","NS","com.","ns2.a2hosting.com."
,,"2022-12-18 03:20:12","2024-07-13 01:02:27",3207,"thegeniustoken.com.","NS","com.","ns3.a2hosting.com."
,,"2022-12-18 03:20:12","2024-07-13 01:02:27",3207,"thegeniustoken.com.","NS","com.","ns4.a2hosting.com."
,,"2022-12-19 01:05:47","2024-07-07 10:07:45",71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns1.a2hosting.com."
,,"2022-12-19 01:05:47","2024-07-07 10:07:45",71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns2.a2hosting.com."
,,"2022-12-19 01:05:47","2024-07-07 10:07:45",71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns3.a2hosting.com."
,,"2022-12-19 01:05:47","2024-07-07 10:07:45",71,"thegeniustoken.com.","NS","thegeniustoken.com.","ns4.a2hosting.com."
,,"2024-07-01 03:47:39","2024-07-01 08:39:31",3,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070100 3600 1800 1209600 86400"
,,"2024-07-02 21:09:28","2024-07-03 03:19:09",6,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070200 3600 1800 1209600 86400"
,,"2024-07-04 21:07:10","2024-07-05 04:55:48",9,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070400 3600 1800 1209600 86400"
,,"2024-07-08 16:09:09","2024-07-09 10:34:27",27,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024070800 3600 1800 1209600 86400"
,,"2024-07-10 15:24:06","2024-07-10 15:24:06",7,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024071000 3600 1800 1209600 86400"
,,"2024-07-11 14:56:12","2024-07-11 14:56:12",3,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024071001 3600 1800 1209600 86400"
,,"2024-07-12 01:19:07","2024-07-12 11:44:42",8,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024071100 3600 1800 1209600 86400"
,,"2024-07-13 02:55:56","2024-07-13 02:55:56",1,"thegeniustoken.com.","SOA","thegeniustoken.com.","ns1.a2hosting.com. root.az1-ts107.a2hosting.com. 2024071300 3600 1800 1209600 86400"
,,"2023-01-13 05:29:01","2024-07-07 15:59:41",27,"thegeniustoken.com.","TXT","thegeniustoken.com.","\"v=spf1 ip4:106.0.62.73 include:spf.a2hosting.com +ip4:106.0.62.73 +a +mx +ip4:68.66.226.111 ~all\""
