zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-10-05 01:00:21","2024-07-12 00:10:21",,,988,"threshold.network.","NS","network.","nora.ns.cloudflare.com."
"2021-10-05 01:00:21","2024-07-12 00:10:21",,,988,"threshold.network.","NS","network.","vick.ns.cloudflare.com."
,,"2021-12-02 15:30:28","2024-07-13 07:01:46",5788,"threshold.network.","A","threshold.network.","104.21.0.199"
,,"2021-12-02 15:30:28","2024-07-13 07:01:46",5788,"threshold.network.","A","threshold.network.","172.67.128.63"
,,"2021-10-04 15:31:23","2024-07-12 18:27:04",324442,"threshold.network.","NS","network.","nora.ns.cloudflare.com."
,,"2021-10-04 15:31:23","2024-07-12 18:27:04",324442,"threshold.network.","NS","network.","vick.ns.cloudflare.com."
,,"2022-03-14 07:54:53","2024-07-12 18:27:02",4197,"threshold.network.","NS","threshold.network.","nora.ns.cloudflare.com."
,,"2022-03-14 07:54:53","2024-07-12 18:27:02",4197,"threshold.network.","NS","threshold.network.","vick.ns.cloudflare.com."
,,"2024-06-14 17:21:05","2024-07-03 09:04:16",283526,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2343865151 10000 2400 604800 1800"
,,"2024-07-03 15:34:53","2024-07-03 16:42:25",97,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345505956 10000 2400 604800 1800"
,,"2024-07-03 18:05:36","2024-07-03 18:05:36",1,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345514982 10000 2400 604800 1800"
,,"2024-07-03 19:06:44","2024-07-03 19:06:44",1,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345516039 10000 2400 604800 1800"
,,"2024-07-04 00:43:37","2024-07-04 00:43:37",1,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345531790 10000 2400 604800 1800"
,,"2024-07-04 12:45:03","2024-07-12 02:21:50",61427,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2345542428 10000 2400 604800 1800"
,,"2024-07-12 17:41:11","2024-07-12 17:41:11",1,"threshold.network.","SOA","threshold.network.","nora.ns.cloudflare.com. dns.cloudflare.com. 2346238137 10000 2400 604800 1800"
,,"2024-02-02 23:23:53","2024-07-07 14:06:45",33,"threshold.network.","TXT","threshold.network.","\"v=spf1 include:_spf.google.com -all\""
,,"2024-02-02 23:23:53","2024-07-07 14:06:45",33,"threshold.network.","TXT","threshold.network.","\"_beehiiv-authentication=NdR2YEvtq1KcXJt6MefLVVhp\""
,,"2024-02-02 23:23:53","2024-07-07 14:06:45",33,"threshold.network.","TXT","threshold.network.","\"google-site-verification=J84MjC3W52PsQqo4G5-7iZjOOZrPYY0H4NMCw1YKs2w\""
,,"2024-02-02 23:23:53","2024-07-07 14:06:45",33,"threshold.network.","TXT","threshold.network.","\"google-site-verification=LbLnbSsWP0uDirLadw7V9eFULv7uZYBFnj813zqz7QA\""
,,"2024-02-02 23:23:53","2024-07-07 14:06:45",33,"threshold.network.","TXT","threshold.network.","\"google-site-verification=Nu9TD2sbHbbAhTyzj6KEno8k22jS-yQq-gaXcCibbRM\""
,,"2024-02-02 23:23:53","2024-07-07 14:06:45",33,"threshold.network.","TXT","threshold.network.","\"wallet-connect-dns-verification=d685bec8cefb08f9a671a646f8099e8bde0b142e5a3fb17bc66d08a05955e3e2\""
,,"2021-12-02 15:30:28","2024-07-12 13:38:28",2115,"threshold.network.","AAAA","threshold.network.","2606:4700:3033::ac43:803f"
,,"2021-12-02 15:30:28","2024-07-12 13:38:28",2115,"threshold.network.","AAAA","threshold.network.","2606:4700:3035::6815:c7"
,,"2023-05-26 21:08:00","2024-07-13 07:01:46",1432,"threshold.network.","HTTPS","threshold.network.","1 . alpn=\"h3,h2\" ipv4hint=104.21.0.199,172.67.128.63 ipv6hint=2606:4700:3033::ac43:803f,2606:4700:3035::6815:c7"
