zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-08-24 00:16:38","2024-07-12 00:06:52",,,1031,"toucan.earth.","NS","earth.","ns-cloud-a1.googledomains.com."
"2021-08-24 00:16:38","2024-07-12 00:06:52",,,1031,"toucan.earth.","NS","earth.","ns-cloud-a2.googledomains.com."
"2021-08-24 00:16:38","2024-07-12 00:06:52",,,1031,"toucan.earth.","NS","earth.","ns-cloud-a3.googledomains.com."
"2021-08-24 00:16:38","2024-07-12 00:06:52",,,1031,"toucan.earth.","NS","earth.","ns-cloud-a4.googledomains.com."
,,"2023-04-20 14:50:28","2024-07-13 05:29:26",4086,"toucan.earth.","A","toucan.earth.","141.193.213.20"
,,"2023-04-20 14:50:28","2024-07-13 05:29:26",4086,"toucan.earth.","A","toucan.earth.","141.193.213.21"
,,"2021-08-23 10:34:53","2024-07-13 00:51:09",77322,"toucan.earth.","NS","earth.","ns-cloud-a1.googledomains.com."
,,"2021-08-23 10:34:53","2024-07-13 00:51:09",77322,"toucan.earth.","NS","earth.","ns-cloud-a2.googledomains.com."
,,"2021-08-23 10:34:53","2024-07-13 00:51:09",77322,"toucan.earth.","NS","earth.","ns-cloud-a3.googledomains.com."
,,"2021-08-23 10:34:53","2024-07-13 00:51:09",77322,"toucan.earth.","NS","earth.","ns-cloud-a4.googledomains.com."
,,"2021-09-13 12:40:22","2024-07-09 22:02:22",591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a1.googledomains.com."
,,"2021-09-13 12:40:22","2024-07-09 22:02:22",591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a2.googledomains.com."
,,"2021-09-13 12:40:22","2024-07-09 22:02:22",591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a3.googledomains.com."
,,"2021-09-13 12:40:22","2024-07-09 22:02:22",591,"toucan.earth.","NS","toucan.earth.","ns-cloud-a4.googledomains.com."
,,"2024-02-29 15:20:42","2024-07-01 19:34:52",12775,"toucan.earth.","SOA","toucan.earth.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 89 21600 3600 259200 300"
,,"2024-07-01 21:41:06","2024-07-12 20:04:08",5457,"toucan.earth.","SOA","toucan.earth.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 90 21600 3600 259200 300"
