zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2023-01-17 22:05:57","2024-07-11 22:58:21",,,541,"unsheth.xyz.","NS","xyz.","ns-279.awsdns-34.com."
"2023-01-17 22:05:57","2024-07-11 22:58:21",,,541,"unsheth.xyz.","NS","xyz.","ns-965.awsdns-56.net."
"2023-01-17 22:05:57","2024-07-11 22:58:21",,,541,"unsheth.xyz.","NS","xyz.","ns-1151.awsdns-15.org."
"2023-01-17 22:05:57","2024-07-11 22:58:21",,,541,"unsheth.xyz.","NS","xyz.","ns-1842.awsdns-38.co.uk."
,,"2023-01-24 21:34:12","2024-07-11 03:06:58",3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.3"
,,"2023-01-24 21:34:12","2024-07-11 03:06:58",3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.80"
,,"2023-01-24 21:34:12","2024-07-11 03:06:58",3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.103"
,,"2023-01-24 21:34:12","2024-07-11 03:06:58",3684,"unsheth.xyz.","A","unsheth.xyz.","13.33.21.120"
,,"2024-05-04 16:26:46","2024-07-11 05:21:41",23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.45"
,,"2024-05-04 16:26:46","2024-07-11 05:21:41",23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.47"
,,"2024-05-04 16:26:46","2024-07-11 05:21:41",23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.75"
,,"2024-05-04 16:26:46","2024-07-11 05:21:41",23,"unsheth.xyz.","A","unsheth.xyz.","18.238.109.129"
,,"2023-03-11 05:03:23","2024-07-05 02:31:41",215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.15"
,,"2023-03-11 05:03:23","2024-07-05 02:31:41",215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.104"
,,"2023-03-11 05:03:23","2024-07-05 02:31:41",215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.106"
,,"2023-03-11 05:03:23","2024-07-05 02:31:41",215,"unsheth.xyz.","A","unsheth.xyz.","108.157.142.113"
,,"2023-01-30 14:05:44","2024-07-12 19:13:23",3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.11"
,,"2023-01-30 14:05:44","2024-07-12 19:13:23",3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.25"
,,"2023-01-30 14:05:44","2024-07-12 19:13:23",3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.41"
,,"2023-01-30 14:05:44","2024-07-12 19:13:23",3488,"unsheth.xyz.","A","unsheth.xyz.","108.157.214.88"
,,"2023-01-17 22:16:25","2024-07-13 09:34:05",37667,"unsheth.xyz.","NS","xyz.","ns-279.awsdns-34.com."
,,"2023-01-17 22:16:25","2024-07-13 09:34:05",37667,"unsheth.xyz.","NS","xyz.","ns-965.awsdns-56.net."
,,"2023-01-17 22:16:25","2024-07-13 09:34:05",37667,"unsheth.xyz.","NS","xyz.","ns-1151.awsdns-15.org."
,,"2023-01-17 22:16:25","2024-07-13 09:34:05",37667,"unsheth.xyz.","NS","xyz.","ns-1842.awsdns-38.co.uk."
,,"2023-01-18 03:37:16","2024-07-13 09:34:05",35148,"unsheth.xyz.","NS","unsheth.xyz.","ns-279.awsdns-34.com."
,,"2023-01-18 03:37:16","2024-07-13 09:34:05",35148,"unsheth.xyz.","NS","unsheth.xyz.","ns-965.awsdns-56.net."
,,"2023-01-18 03:37:16","2024-07-13 09:34:05",35148,"unsheth.xyz.","NS","unsheth.xyz.","ns-1151.awsdns-15.org."
,,"2023-01-18 03:37:16","2024-07-13 09:34:05",35148,"unsheth.xyz.","NS","unsheth.xyz.","ns-1842.awsdns-38.co.uk."
,,"2023-01-17 22:16:25","2024-07-12 15:09:33",21727,"unsheth.xyz.","SOA","unsheth.xyz.","ns-1151.awsdns-15.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
