zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2022-02-15 00:07:25","2024-07-11 23:58:12",,,856,"xbank.finance.","NS","finance.","scott.ns.cloudflare.com."
"2022-02-15 00:07:25","2024-07-11 23:58:12",,,856,"xbank.finance.","NS","finance.","tricia.ns.cloudflare.com."
,,"2022-02-15 04:35:26","2024-07-10 18:09:07",1280,"xbank.finance.","A","xbank.finance.","104.21.33.74"
,,"2022-02-15 04:35:26","2024-07-10 18:09:07",1280,"xbank.finance.","A","xbank.finance.","172.67.159.253"
,,"2022-02-14 04:39:26","2024-07-13 00:21:27",68412,"xbank.finance.","NS","finance.","scott.ns.cloudflare.com."
,,"2022-02-14 04:39:26","2024-07-13 00:21:27",68412,"xbank.finance.","NS","finance.","tricia.ns.cloudflare.com."
,,"2022-02-22 19:31:59","2024-07-12 04:03:40",124,"xbank.finance.","NS","xbank.finance.","scott.ns.cloudflare.com."
,,"2022-02-22 19:31:59","2024-07-12 04:03:40",124,"xbank.finance.","NS","xbank.finance.","tricia.ns.cloudflare.com."
,,"2024-07-05 16:12:59","2024-07-08 18:26:17",4,"xbank.finance.","SOA","xbank.finance.","scott.ns.cloudflare.com. dns.cloudflare.com. 2345594621 10000 2400 604800 1800"
,,"2022-02-17 19:41:48","2024-07-07 23:07:49",205,"xbank.finance.","AAAA","xbank.finance.","2606:4700:3031::ac43:9ffd"
,,"2022-02-17 19:41:48","2024-07-07 23:07:49",205,"xbank.finance.","AAAA","xbank.finance.","2606:4700:3034::6815:214a"
