zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1125,"xwin.finance.","NS","finance.","ns-cloud-d1.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1125,"xwin.finance.","NS","finance.","ns-cloud-d2.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1125,"xwin.finance.","NS","finance.","ns-cloud-d3.googledomains.com."
"2021-05-21 02:02:05","2024-07-11 23:58:12",,,1125,"xwin.finance.","NS","finance.","ns-cloud-d4.googledomains.com."
,,"2022-05-17 06:22:17","2024-07-13 05:05:35",2311,"xwin.finance.","A","xwin.finance.","199.36.158.100"
,,"2021-01-01 03:09:31","2024-07-12 18:04:51",10335,"xwin.finance.","NS","finance.","ns-cloud-d1.googledomains.com."
,,"2021-01-01 03:09:31","2024-07-12 18:04:51",10335,"xwin.finance.","NS","finance.","ns-cloud-d2.googledomains.com."
,,"2021-01-01 03:09:31","2024-07-12 18:04:51",10335,"xwin.finance.","NS","finance.","ns-cloud-d3.googledomains.com."
,,"2021-01-01 03:09:31","2024-07-12 18:04:51",10335,"xwin.finance.","NS","finance.","ns-cloud-d4.googledomains.com."
,,"2021-01-01 03:09:31","2024-07-09 00:34:44",246,"xwin.finance.","NS","xwin.finance.","ns-cloud-d1.googledomains.com."
,,"2021-01-01 03:09:31","2024-07-09 00:34:44",246,"xwin.finance.","NS","xwin.finance.","ns-cloud-d2.googledomains.com."
,,"2021-01-01 03:09:31","2024-07-09 00:34:44",246,"xwin.finance.","NS","xwin.finance.","ns-cloud-d3.googledomains.com."
,,"2021-01-01 03:09:31","2024-07-09 00:34:44",246,"xwin.finance.","NS","xwin.finance.","ns-cloud-d4.googledomains.com."
,,"2024-06-06 01:25:06","2024-07-13 03:16:27",111,"xwin.finance.","SOA","xwin.finance.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 34 21600 3600 259200 300"
,,"2021-02-26 09:15:21","2024-07-12 04:22:49",169,"xwin.finance.","MX","xwin.finance.","1 aspmx.l.google.com."
,,"2021-02-26 09:15:21","2024-07-12 04:22:49",169,"xwin.finance.","MX","xwin.finance.","5 alt1.aspmx.l.google.com."
,,"2021-02-26 09:15:21","2024-07-12 04:22:49",169,"xwin.finance.","MX","xwin.finance.","5 alt2.aspmx.l.google.com."
,,"2021-02-26 09:15:21","2024-07-12 04:22:49",169,"xwin.finance.","MX","xwin.finance.","10 alt3.aspmx.l.google.com."
,,"2021-02-26 09:15:21","2024-07-12 04:22:49",169,"xwin.finance.","MX","xwin.finance.","10 alt4.aspmx.l.google.com."
