zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2021-05-20 22:50:23","2024-07-10 22:50:20",,,1032,"yieldyak.com.","NS","com.","ns-cloud-b1.googledomains.com."
"2021-05-20 22:50:23","2024-07-10 22:50:20",,,1032,"yieldyak.com.","NS","com.","ns-cloud-b2.googledomains.com."
"2021-05-20 22:50:23","2024-07-10 22:50:20",,,1032,"yieldyak.com.","NS","com.","ns-cloud-b3.googledomains.com."
"2021-05-20 22:50:23","2024-07-10 22:50:20",,,1032,"yieldyak.com.","NS","com.","ns-cloud-b4.googledomains.com."
,,"2021-03-23 21:01:15","2024-07-12 22:20:25",82104,"yieldyak.com.","A","yieldyak.com.","216.239.32.21"
,,"2021-03-23 21:01:15","2024-07-12 22:20:25",82104,"yieldyak.com.","A","yieldyak.com.","216.239.34.21"
,,"2021-03-23 21:01:15","2024-07-12 22:20:25",82104,"yieldyak.com.","A","yieldyak.com.","216.239.36.21"
,,"2021-03-23 21:01:15","2024-07-12 22:20:25",82104,"yieldyak.com.","A","yieldyak.com.","216.239.38.21"
,,"2021-03-23 22:30:29","2024-07-13 01:57:00",469774,"yieldyak.com.","NS","com.","ns-cloud-b1.googledomains.com."
,,"2021-03-23 22:30:29","2024-07-13 01:57:00",469774,"yieldyak.com.","NS","com.","ns-cloud-b2.googledomains.com."
,,"2021-03-23 22:30:29","2024-07-13 01:57:00",469774,"yieldyak.com.","NS","com.","ns-cloud-b3.googledomains.com."
,,"2021-03-23 22:30:29","2024-07-13 01:57:00",469774,"yieldyak.com.","NS","com.","ns-cloud-b4.googledomains.com."
,,"2021-03-26 16:10:21","2024-07-07 21:43:00",302,"yieldyak.com.","NS","yieldyak.com.","ns-cloud-b1.googledomains.com."
,,"2021-03-26 16:10:21","2024-07-07 21:43:00",302,"yieldyak.com.","NS","yieldyak.com.","ns-cloud-b2.googledomains.com."
,,"2021-03-26 16:10:21","2024-07-07 21:43:00",302,"yieldyak.com.","NS","yieldyak.com.","ns-cloud-b3.googledomains.com."
,,"2021-03-26 16:10:21","2024-07-07 21:43:00",302,"yieldyak.com.","NS","yieldyak.com.","ns-cloud-b4.googledomains.com."
,,"2024-04-25 01:04:09","2024-07-12 19:43:12",1214,"yieldyak.com.","SOA","yieldyak.com.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 22 21600 3600 259200 300"
,,"2023-12-25 02:19:20","2024-07-08 06:57:31",13,"yieldyak.com.","TXT","yieldyak.com.","\"v=spf1 -all\""
,,"2023-12-25 02:19:20","2024-07-08 06:57:31",13,"yieldyak.com.","TXT","yieldyak.com.","\"google-site-verification=9MfNkddIXC4eyG1_gjaOt8gFn-DcCorJ9Q8H624PnWE\""
,,"2021-03-23 21:01:16","2024-07-13 05:02:39",52353,"yieldyak.com.","AAAA","yieldyak.com.","2001:4860:4802:32::15"
,,"2021-03-23 21:01:16","2024-07-13 05:02:39",52353,"yieldyak.com.","AAAA","yieldyak.com.","2001:4860:4802:34::15"
,,"2021-03-23 21:01:16","2024-07-13 05:02:39",52353,"yieldyak.com.","AAAA","yieldyak.com.","2001:4860:4802:36::15"
,,"2021-03-23 21:01:16","2024-07-13 05:02:39",52353,"yieldyak.com.","AAAA","yieldyak.com.","2001:4860:4802:38::15"
