zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
,,1716554507,1716704736,10,"tepcocomber.jp.","A",,"34.146.253.209"
,,1716988628,1716988628,1,"tepco-paybilling.services.3rcspb.com.","A",,"34.146.253.209"
,,1716985198,1716985198,1,"tepco-paybilling.services.4okhma.com.","A",,"34.146.253.209"
,,1716984433,1716984433,1,"tepco-paybilling.servicrd.4okhma.com.","A",,"34.146.253.209"
,,1716988113,1716988113,1,"tepco-paybilling.services.dhrvic.com.","A",,"34.146.253.209"
,,1716986320,1716986320,1,"tepco-paybilling.services.fvj4kb.com.","A",,"34.146.253.209"
,,1716988114,1716988114,1,"tepco-paybilling.services.jlntxg.com.","A",,"34.146.253.209"
,,1716988194,1716988194,1,"tepco-paybilling.services.jvneqb.com.","A",,"34.146.253.209"
,,1716988193,1716988193,1,"tepco-paybilling.services.lnwrtc.com.","A",,"34.146.253.209"
,,1716988114,1716988114,1,"tepco-paybilling.services.yjthmf.com.","A",,"34.146.253.209"
,,1716800209,1716800598,6,"tepco.tepserver.com.","A",,"34.146.253.209"
,,1716554508,1716620279,14,"tepconavid.com.","A",,"34.146.253.209"
,,1716637200,1716764993,9,"tepco-payco.com.","A",,"34.146.253.209"
,,1716620279,1716745615,8,"tepco-quicy.com.","A",,"34.146.253.209"
,,1716809466,1716809466,2,"tepcotimeup.com.","A",,"34.146.253.209"
,,1716800283,1716800604,5,"tepco.teptokyores.com.","A",,"34.146.253.209"
,,1716705616,1716770678,8,"tepco-gmocig.com.","A",,"34.146.253.209"
,,1716633018,1716709540,7,"tepco-gmonow.com.","A",,"34.146.253.209"
,,1716624576,1716710226,17,"tepco-gmopay.com.","A",,"34.146.253.209"
,,1716682560,1716764993,10,"tepco-payfor.com.","A",,"34.146.253.209"
,,1716626373,1716753763,8,"tepco-paygmo.com.","A",,"34.146.253.209"
,,1716517350,1716517579,3,"tepco-paynid.com.","A",,"34.146.253.209"
,,1716517344,1716517344,2,"tepco-paysid.com.","A",,"34.146.253.209"
,,1716517344,1716517344,2,"tepco-payuid.com.","A",,"34.146.253.209"
,,1716517345,1716517475,4,"tepco-payvid.com.","A",,"34.146.253.209"
,,1716637200,1716764993,19,"tepco-paywar.com.","A",,"34.146.253.209"
,,1716822549,1716823241,6,"tepcopaydine.com.","A",,"34.146.253.209"
,,1716822549,1716822675,4,"tepcopaydsne.com.","A",,"34.146.253.209"
,,1716800001,1716800002,4,"tepco.tepinfoabout.com.","A",,"34.146.253.209"
,,1716800283,1716800598,8,"tepco.teptokyonavi.com.","A",,"34.146.253.209"
,,1716624561,1716757406,17,"tepco-coinpay.com.","A",,"34.146.253.209"
,,1716626373,1716773990,15,"tepco-gmocash.com.","A",,"34.146.253.209"
,,1716633018,1716718601,5,"tepco-gmonavi.com.","A",,"34.146.253.209"
,,1716626374,1716753763,13,"tepco-infogmo.com.","A",,"34.146.253.209"
,,1716517344,1716517475,4,"tepco-paycuid.com.","A",,"34.146.253.209"
,,1716637802,1716764993,12,"tepco-payfare.com.","A",,"34.146.253.209"
,,1716546788,1716658440,13,"tepco-payhold.com.","A",,"34.146.253.209"
,,1716546527,1716790084,12,"tepco-paynova.com.","A",,"34.146.253.209"
,,1716517344,1716517344,2,"tepco-payuzid.com.","A",,"34.146.253.209"
,,1716554508,1716622599,12,"tepcoinfoment.com.","A",,"34.146.253.209"
,,1716822549,1716822549,2,"tepcopaysucur.com.","A",,"34.146.253.209"
,,1716554508,1716772179,14,"tepcosupporty.com.","A",,"34.146.253.209"
,,1716554508,1716670987,9,"tepco-3dscuhod.com.","A",,"34.146.253.209"
,,1716694615,1716705868,5,"tepco-paycainc.com.","A",,"34.146.253.209"
,,1716626373,1716776636,14,"tepco-paycigmo.com.","A",,"34.146.253.209"
,,1716546782,1716733673,13,"tepco-payinput.com.","A",,"34.146.253.209"
,,1716620279,1716689223,4,"tepco-payquicy.com.","A",,"34.146.253.209"
,,1716546788,1716720238,32,"tepco-payunpit.com.","A",,"34.146.253.209"
,,1716620279,1716701306,5,"tepco-quicypay.com.","A",,"34.146.253.209"
,,1716802781,1716860945,5,"tepco-tepwaner.com.","A",,"34.146.253.209"
,,1716554508,1716620435,11,"tepco3dscuhold.com.","A",,"34.146.253.209"
,,1716974843,1716974843,1,"tepcobillingty.com.","A",,"34.146.253.209"
,,1716822555,1716834884,8,"tepcopageneral.com.","A",,"34.146.253.209"
,,1716816508,1716816739,3,"tepcopaysucery.com.","A",,"34.146.253.209"
,,1716822554,1716822675,4,"tepcopaysucort.com.","A",,"34.146.253.209"
,,1716865223,1716865223,2,"tepcopaysurecy.com.","A",,"34.146.253.209"
,,1716809557,1716809762,15,"tepcopaytimezy.com.","A",,"34.146.253.209"
,,1716802781,1716803038,5,"tepco.teptokyonavity.com.","A",,"34.146.253.209"
,,1716524202,1716524202,1,"tepco-ezpayment.com.","A",,"34.146.253.209"
,,1716626373,1716776071,16,"tepco-gmocgipay.com.","A",,"34.146.253.209"
,,1716633343,1716770817,7,"tepco-gmopaynow.com.","A",,"34.146.253.209"
,,1716620279,1716722703,3,"tepco-payquicty.com.","A",,"34.146.253.209"
,,1716892869,1716892869,2,"tepcobillingfor.com.","A",,"34.146.253.209"
,,1716974997,1716974997,1,"tepcobillingrse.com.","A",,"34.146.253.209"
,,1716971480,1716971480,1,"tepcobillingtor.com.","A",,"34.146.253.209"
,,1716971574,1716971574,1,"tepcobillingtre.com.","A",,"34.146.253.209"
,,1716865115,1716865115,2,"tepcopayconfirm.com.","A",,"34.146.253.209"
,,1716694635,1716694635,2,"tepcopayinfosms.com.","A",,"34.146.253.209"
,,1716807769,1716832927,5,"tepcopaytimeout.com.","A",,"34.146.253.209"
,,1716694635,1716695255,5,"tepcoteideninfo.com.","A",,"34.146.253.209"
,,1716531673,1716817669,21,"express-infoment.com.","A",,"34.146.253.209"
,,1716971480,1716971480,1,"tepco-billingtry.com.","A",,"34.146.253.209"
,,1716517344,1716517475,4,"tepco-ezmentupay.com.","A",,"34.146.253.209"
,,1716626373,1716753763,8,"tepco-payinfogmo.com.","A",,"34.146.253.209"
,,1716694615,1716737771,7,"tepco-payinfosms.com.","A",,"34.146.253.209"
,,1716802781,1716803038,3,"tepco-paymembers.com.","A",,"34.146.253.209"
,,1716802781,1716860259,9,"tepco-paytimeout.com.","A",,"34.146.253.209"
