IOC,IOC Type
confirmation-id\d+\.(com|world|click),Domain RegEx
verif(y)?gu[ea]st\d+-booking\.com,Domain RegEx
card(verif(y)?|id)\d*-booking\.(com|world),Domain RegEx
[a-z]+-[a-z]+-[a-z]+\.(icu|click),Domain RegEx
.*-booking\.com$,Domain RegEx
confirmation-id081277[.]com,Domain
confirmation-id081273[.]com,Domain
confirmation-id081299[.]com,Domain
confirmation-id155632[.]com,Domain
confirmation-id755632[.]com,Domain
confirmation-id897923[.]com,Domain
confirmation-id196632[.]com,Domain
confirmation-id78443[.]com,Domain
confirm-reserve[.]com,Domain
confirmation-one[.]click,Domain
verifyguets3438-booking[.]com,Domain
verify-details574[.]world,Domain
bookedehotelle2025[.]com,Domain
verifyguets25148-booking[.]com,Domain
verifyguets24111-booking[.]com,Domain
verifyguets84511-booking[.]com,Domain
verifyguets71561-booking[.]com,Domain
confirmation-id871234[.]com,Domain
verifyguets74341-booking[.]com,Domain
confirmation-id72694[.]com,Domain
verifyguets67841-booking[.]com,Domain
verifyguets12410-booking[.]com,Domain
confirmation-id784417[.]com,Domain
com-cardholders-verification[.]com,Domain
confirmation-id74652[.]com,Domain
confirmation-id1367[.]com,Domain
confirmation-id92125[.]com,Domain
confirm-reservation[.]com,Domain
bookreservfadrwer-customer[.]com,Domain
confirmation-id44613[.]com,Domain
confirmation-id92751[.]com,Domain
bronirovaniebooking2[.]world,Domain
confirm-reservation-id7602[.]com,Domain
confirm-reservation-id5439[.]com,Domain
lefica-bnct-yasht[.]icu,Domain
confirm-reservation-id4781[.]com,Domain
confirmation-id7013[.]com,Domain
confirmation-id89305803[.]com,Domain
confirmation-id947195[.]com,Domain
confirmation-id45919[.]com,Domain
confirmation-id43931[.]com,Domain
confirmation-id6872[.]com,Domain
confirmation-id28573[.]com,Domain
confirmation-id98711[.]com,Domain
confirmation-id9989[.]com,Domain
confirmation-id81723[.]com,Domain
smplervation-gst[.]com,Domain
help-desk-customer[.]com,Domain
confirmres4567654id[.]com,Domain
confirmation-id91753[.]com,Domain
guest-prearrival[.]com,Domain
booking-guestingreservation53672[.]com,Domain
confirmation-id748455287[.]com,Domain
confirmation-id99123[.]com,Domain
verifyguest77681-booking[.]com,Domain
verifyguest3451-booking[.]com,Domain
verifyguest75956-booking[.]com,Domain
verifyguest315788-booking[.]com,Domain
confirmation-id647195[.]com,Domain
confirmation-id87782[.]com,Domain
verifguest375673-booking[.]com,Domain
verif336433guest-booking[.]com,Domain
verif35623guest-booking[.]com,Domain
confirmation-id2507613[.]com,Domain
confirmation-id2507651[.]com,Domain
confirmation-id2507650[.]com,Domain
booking-guestingreservations295912[.]com,Domain
confreservation-id04964231[.]com,Domain
laf-bnhol-cem[.]icu,Domain
guestverify51312-booking[.]com,Domain
restaurant-reservation[.]cyou,Domain
melinarestaurant[.]cyou,Domain
confirm-id2971[.]world,Domain
confirmation-id7158[.]com,Domain
pvty-czstv-omdl[.]icu,Domain
gesitline-reverv[.]com,Domain
booking-reservupdate-2905[.]com,Domain
confirmation-45019[.]com,Domain
confirmation-17365[.]com,Domain
confirmation-53782[.]com,Domain
confirmation-26481[.]com,Domain
confirmation-31720[.]com,Domain
confirmation-26843[.]com,Domain
confirmation-48963[.]com,Domain
confirmation-37094[.]com,Domain
confirmation-83917[.]com,Domain
confirmation-14329[.]com,Domain
confirmation-19475[.]com,Domain
confirmation-92817[.]com,Domain
confirmation-62150[.]com,Domain
confirmation-69872[.]com,Domain
confirmation-34290[.]com,Domain
confirmation-87136[.]com,Domain
confirmation-75624[.]com,Domain
confirmation-11058[.]com,Domain
confirmation-68521[.]com,Domain
confirmation-59486[.]com,Domain
confirmation-74680[.]com,Domain
confirmation-92135[.]com,Domain
confirmation-84267[.]com,Domain
confirmation-70489[.]com,Domain
confirmation-15346[.]com,Domain
confirmation-23650[.]com,Domain
confirmation-61748[.]com,Domain
confirmation-80329[.]com,Domain
confirmation-58231[.]com,Domain
verify50741card-booking[.]com,Domain
confirmation-id75234136[.]com,Domain
confirmation-id43713[.]com,Domain
confirmation-id647185[.]com,Domain
cardverif-booking[.]world,Domain
suites-grantville24[.]world,Domain
confirmation-id24673[.]com,Domain
reservation-id25318[.]world,Domain
it-garda[.]com,Domain
verify553441card-booking[.]com,Domain
test-my-bok[.]com,Domain
confirmation-id93817[.]com,Domain
confirmation-id6549[.]com,Domain
cardverify586411-booking[.]com,Domain
verify535241card-booking[.]com,Domain
cardverify54311-booking[.]com,Domain
67663verifycard-booking[.]com,Domain
updatemayupd[.]com,Domain
cardverify58701-booking[.]com,Domain
confirmation-id0859382[.]com,Domain
confirmation-id71523[.]com,Domain
confirmation-id632463[.]com,Domain
verify531card-booking[.]com,Domain
zirt-evnmb-ddfq[.]icu,Domain
verify52412card-booking[.]com,Domain
verify5142card-booking[.]com,Domain
cardverify5156001-booking[.]com,Domain
confirmation-id2507612[.]com,Domain
confirmation-id2507610[.]com,Domain
confirmation-id2507611[.]com,Domain
uk-room24[.]com,Domain
confirm-id2437282344[.]com,Domain
confirmation-id2509102[.]com,Domain
confirmation-id2509103[.]com,Domain
uk-rooms24[.]com,Domain
confirmation-id2509100[.]com,Domain
confirmation-id2509101[.]com,Domain
confirmation-id9823[.]com,Domain
confirmation-id554331[.]com,Domain
confirmation-id44101[.]com,Domain
it-rooms24[.]com,Domain
confirmation-id8147[.]com,Domain
confirmation-id9318[.]com,Domain
confirmation-id2199[.]com,Domain
confirmation-id6328[.]com,Domain
confirmation-id7650[.]com,Domain
confirmation-id4211[.]com,Domain
confirmation-id3719[.]com,Domain
cardverify564301-booking[.]com,Domain
confirmation-id3638[.]com,Domain
it-room24[.]com,Domain
id-553136[.]world,Domain
cz-room24[.]com,Domain
reservation-booking[.]icu,Domain
cardverify564891-booking[.]com,Domain
reservation-confirmed[.]sbs,Domain
hotel-pinomar[.]world,Domain
breserve-custommessagehelp[.]com,Domain
confirmation-id647885[.]com,Domain
confirmation-id8539[.]live,Domain
confirmation-id534534[.]com,Domain
cardverify54951-booking[.]com,Domain
reconfrim881722[.]world,Domain
confirmation29785[.]com,Domain
reservation-id93100413[.]com,Domain
reservation-id64553[.]quest,Domain
cfie-gnest-hbenv[.]click,Domain
gjhj4nhj5v[.]click,Domain
confirmation-id2509171[.]com,Domain
confirmation-id2509170[.]com,Domain
confirmation-id019[.]com,Domain
confirmation-id14332471[.]com,Domain
confirmation-id14332473[.]com,Domain
cardverify87951-booking[.]com,Domain
confirmation84216[.]com,Domain
iurtey-gkafn-trh[.]icu,Domain
confirmation-id8491[.]live,Domain
confirmation2857[.]com,Domain
maydatarenew[.]com,Domain
verif-hillpark-hotel[.]com,Domain
cardverify88151-booking[.]com,Domain
confirmation-id543556[.]com,Domain
internationalguestservices[.]com,Domain
id154321[.]icu,Domain
confirmation-id47183[.]world,Domain
confirmation-id2509164[.]com,Domain
confirmation-id2509162[.]com,Domain
confirmation-id2509163[.]com,Domain
confirmation-id2509161[.]com,Domain
confirmation-id2509160[.]com,Domain
confirmation-id633885[.]com,Domain
confirmation-id14332452[.]com,Domain
confirmation-id14332451[.]com,Domain
confirmation-id14332450[.]com,Domain
confirmation-id14332449[.]com,Domain
confirmation-id1437355[.]com,Domain
confirmation-id1437353[.]com,Domain
confirmation-id1437352[.]com,Domain
confirmation-id1437351[.]com,Domain
confirmation-id73245[.]com,Domain
confirmation-id52363[.]com,Domain
confirmation-id43891[.]world,Domain
confirmation18442[.]com,Domain
confirmation-id65091[.]world,Domain
confirmation-id[.]world,Domain
confirmation-id544313[.]com,Domain
id29945[.]com,Domain
confirmation-id637885[.]com,Domain
confirmation-id67831[.]world,Domain
confirmation-id2462[.]com,Domain
confirmation-id14373449[.]com,Domain
confirmation-id14373450[.]com,Domain
confirmation-id14373448[.]com,Domain
confirmation-id14373447[.]com,Domain
confirmation-id14373446[.]com,Domain
confirmation-id14373445[.]com,Domain
confirmation-id67123[.]world,Domain
confirmation-id14373444[.]com,Domain
confirmation-id1437342[.]com,Domain
confirmation-id1437343[.]com,Domain
id498996[.]com,Domain
confirmation-id534575[.]com,Domain
cardverify7651-booking[.]com,Domain
bnrty-gedmt-zqjl[.]click,Domain
slvtq-keltr-mufhr[.]click,Domain
svtergh-shtpl-mntek-rtees[.]rest,Domain
thfey-glpmlt-fdou[.]icu,Domain
verifybook-booking[.]com,Domain
htrvf-eftlet-gefecs[.]click,Domain
bookresrvupdate[.]com,Domain
confirmation-id987933[.]com,Domain
xhtef-clqui-sebs[.]click,Domain
rleghlt-smrlite-cfmng[.]com,Domain
sseplt-adrer-asp[.]icu,Domain
gvntl-svplie-gerlvl[.]icu,Domain
soppll-jendh-rglslrlv[.]com,Domain
cmpelt-boolking-tday[.]com,Domain
confirmation-id7899[.]com,Domain
confirmation-id612452[.]com,Domain
holder4820-booking[.]com,Domain
holderid4120-booking[.]com,Domain
confirmation-id635895[.]com,Domain
confirmation-id52342623623[.]com,Domain
heclrcv-vopl-ypfau[.]icu,Domain
cardid5185-booking[.]com,Domain
confirmation-id7189[.]com,Domain
confirmation-id7853564[.]com,Domain
confirmation-id1437340[.]com,Domain
confirmation-id190238[.]com,Domain
confirmation-id7852[.]com,Domain
hoteleybookedes2025[.]com,Domain
sovay-dgelrv-somhrm[.]icu,Domain
confirmation-id3938[.]com,Domain
asclrt-feserlv-ypsay[.]icu,Domain
confirmation-id634885[.]com,Domain
confirmation-id75237236[.]com,Domain
confirmation-id61426346[.]com,Domain
bookingid291784671[.]sbs,Domain
idcard1215-booking[.]com,Domain
confirmation-id348[.]com,Domain
idholder1235-booking[.]com,Domain
checkcard1715-booking[.]com,Domain
mfohur-tnus-ypfay[.]icu,Domain
grclno-flirem-tery[.]icu,Domain
confirmation-id6859838[.]com,Domain
confirmation-id6199[.]com,Domain
checkcard1015-booking[.]com,Domain
confirmation-id9056423[.]com,Domain
confirmation-id5473226[.]com,Domain
visitorroom4873456[.]com,Domain
cdgairport[.]icu,Domain
cardcheck1415-booking[.]com,Domain
confirmation-id901823[.]com,Domain
verifyid5465-booking[.]com,Domain
supl-rtyez-imm[.]icu,Domain
fday-clfrm-grlsv[.]click,Domain
verification12415-booking[.]com,Domain
fufick[.]icu,Domain
htday-clonf-rlsv[.]click,Domain
mayairbnbdata[.]info,Domain
gcjonf-rsrlv-tody[.]click,Domain
rebook-page[.]click,Domain
resvr-confrm-id4567244[.]click,Domain
octorate-confirm[.]com,Domain
resvr-confrm-id4567241[.]click,Domain
rsrlv-comf-ystd[.]click,Domain
confslmpleresrvatlon[.]com,Domain
simlperesrlvatlonhotel[.]com,Domain
octoreslvatlon[.]com,Domain
cofm-sta-tda[.]buzz,Domain
bk-for-glres[.]click,Domain
bybok-cont-tday[.]click,Domain
smpleresrvtiongeust[.]com,Domain
confirmation-id90153[.]com,Domain
fnly-yor-okay[.]com,Domain
simmpel-resrvtion[.]com,Domain
day-conf-compl[.]com,Domain
complt-revesre-toda[.]click,Domain
compl-tody-rsrv[.]click,Domain
verify31451-booking[.]com,Domain
smple-reserv[.]com,Domain
verify312051-booking[.]com,Domain
book-octrate[.]com,Domain
gsert-cont-onday[.]icu,Domain
cofn-resrv-compl[.]icu,Domain
confirmation-id62342623[.]com,Domain
compl-resrv[.]world,Domain
reservation-id25673[.]world,Domain
updatedata85945[.]com,Domain
confirmation-id7582[.]com,Domain
bronirovaniebooking1[.]icu,Domain
rebook-room[.]click,Domain
simple-bookingit[.]com,Domain
verificaion-reserv213552[.]com,Domain
confirmation-id889424[.]com,Domain
confirmation-370388[.]com,Domain
confirmation-370391[.]com,Domain
confirmation-370395[.]com,Domain
verficaion-reserv213552[.]com,Domain
verficatiuon-reservaon[.]com,Domain
verficaton-resevaion251134[.]com,Domain
allsoppandallsoppgroup[.]quest,Domain
confirmation-id891723[.]com,Domain
clipperhotel[.]icu,Domain
grindlservice[.]com,Domain
grindlyservice[.]world,Domain
themyrtlebeachresort[.]icu,Domain
themyrtlebeachresorts[.]info,Domain
simpl-reservatron[.]com,Domain
verificationid-booking[.]com,Domain
checkguests-via-booking[.]com,Domain
inforecheck-by-booking[.]com,Domain
checkininfo-by-booking[.]com,Domain
customerbook[.]cfd,Domain
booking-approval[.]top,Domain
reserveworkshved[.]com,Domain
shvedworkaet[.]top,Domain
checkinfo-by-booking[.]com,Domain
recheck-booking[.]com,Domain
fastcheck-booking[.]com,Domain
check-by-booking[.]com,Domain
verify-bypass-booking[.]com,Domain
guestinfo-booking[.]com,Domain
checkinfo-booking[.]com,Domain
guestcheck-booking[.]com,Domain
againcheck-booking[.]com,Domain
passverify-booking[.]com,Domain
confirmation-id081277[.]com,Domain
confirmation-id081273[.]com,Domain
confirmation-id081299[.]com,Domain
confirmation-id155632[.]com,Domain
confirmation-id755632[.]com,Domain
confirmation-id897923[.]com,Domain
confirmation-id196632[.]com,Domain
confirmation-id78443[.]com,Domain
confirm-reserve[.]com,Domain
confirmation-one[.]click,Domain
verifyguets3438-booking[.]com,Domain
verify-details574[.]world,Domain
bookedehotelle2025[.]com,Domain
verifyguets25148-booking[.]com,Domain
verifyguets24111-booking[.]com,Domain
verifyguets84511-booking[.]com,Domain
verifyguets71561-booking[.]com,Domain
confirmation-id871234[.]com,Domain
verifyguets74341-booking[.]com,Domain
confirmation-id72694[.]com,Domain
verifyguets67841-booking[.]com,Domain
verifyguets12410-booking[.]com,Domain
confirmation-id784417[.]com,Domain
com-cardholders-verification[.]com,Domain
confirmation-id74652[.]com,Domain
confirmation-id1367[.]com,Domain
confirmation-id92125[.]com,Domain
confirm-reservation[.]com,Domain
bookreservfadrwer-customer[.]com,Domain
confirmation-id44613[.]com,Domain
confirmation-id92751[.]com,Domain
bronirovaniebooking2[.]world,Domain
confirm-reservation-id7602[.]com,Domain
confirm-reservation-id5439[.]com,Domain
lefica-bnct-yasht[.]icu,Domain
confirm-reservation-id4781[.]com,Domain
confirmation-id7013[.]com,Domain
confirmation-id89305803[.]com,Domain
confirmation-id947195[.]com,Domain
confirmation-id45919[.]com,Domain
confirmation-id43931[.]com,Domain
confirmation-id6872[.]com,Domain
confirmation-id28573[.]com,Domain
confirmation-id98711[.]com,Domain
confirmation-id9989[.]com,Domain
confirmation-id81723[.]com,Domain
smplervation-gst[.]com,Domain
help-desk-customer[.]com,Domain
confirmres4567654id[.]com,Domain
confirmation-id91753[.]com,Domain
guest-prearrival[.]com,Domain
booking-guestingreservation53672[.]com,Domain
confirmation-id748455287[.]com,Domain
confirmation-id99123[.]com,Domain
verifyguest77681-booking[.]com,Domain
verifyguest3451-booking[.]com,Domain
verifyguest75956-booking[.]com,Domain
verifyguest315788-booking[.]com,Domain
confirmation-id647195[.]com,Domain
confirmation-id87782[.]com,Domain
verifguest375673-booking[.]com,Domain
verif336433guest-booking[.]com,Domain
verif35623guest-booking[.]com,Domain
confirmation-id2507613[.]com,Domain
confirmation-id2507651[.]com,Domain
confirmation-id2507650[.]com,Domain
booking-guestingreservations295912[.]com,Domain
confreservation-id04964231[.]com,Domain
laf-bnhol-cem[.]icu,Domain
guestverify51312-booking[.]com,Domain
restaurant-reservation[.]cyou,Domain
melinarestaurant[.]cyou,Domain
confirm-id2971[.]world,Domain
confirmation-id7158[.]com,Domain
pvty-czstv-omdl[.]icu,Domain
gesitline-reverv[.]com,Domain
booking-reservupdate-2905[.]com,Domain
confirmation-45019[.]com,Domain
confirmation-17365[.]com,Domain
