Table 1
IOC,IOC Type
0xpaste[.]com,IOC Domain
aitradingview[.]app,IOC Domain
aitradingview[.]dev,IOC Domain
batalia-dansului[.]xyz,IOC Domain
battalia-dansului[.]com,IOC Domain
betamodetradingview[.]dev,IOC Domain
betatradingview[.]app,IOC Domain
betatradingview[.]dev,IOC Domain
charts-beta[.]dev,IOC Domain
codepaste[.]io,IOC Domain
dans-lupta[.]xyz,IOC Domain
dev-beta[.]com,IOC Domain
devbetabeta[.]dev,IOC Domain
devchart[.]ai,IOC Domain
developer-ai[.]dev,IOC Domain
developerbeta[.]dev,IOC Domain
developer-beta[.]dev,IOC Domain
developer-mode[.]dev,IOC Domain
developer-package[.]dev,IOC Domain
developer-update[.]dev,IOC Domain
devmodebeta[.]dev,IOC Domain
devmode-beta[.]dev,IOC Domain
devtradingview[.]ai,IOC Domain
devtradingview[.]net,IOC Domain
dev-update[.]dev,IOC Domain
docusign[.]sa[.]com,IOC Domain
docusign[.]za[.]com,IOC Domain
docusimg[.]sa[.]com,IOC Domain
docusingl[.]sa[.]com,IOC Domain
docusingle[.]sa[.]com,IOC Domain
gitcodes[.]app,IOC Domain
gitcodes[.]io,IOC Domain
gitcodes[.]net,IOC Domain
gitcodes[.]org,IOC Domain
gitpaste[.]com,IOC Domain
givcodes[.]com,IOC Domain
hubofnotion[.]com,IOC Domain
jeffsorsonblog[.]dev,IOC Domain
loyalcompany[.]net,IOC Domain
mhousecreative[.]com,IOC Domain
modedev[.]ai,IOC Domain
modedeveloper[.]ai,IOC Domain
modedeveloper[.]com,IOC Domain
modedevs[.]ai,IOC Domain
nsocks[.]net,IOC Domain
oktacheck.it[.]com,IOC Domain
pasteco[.]com,IOC Domain
pastefy[.]com,IOC Domain
pastefy[.]net,IOC Domain
pastefy[.]pro,IOC Domain
tradingviewai[.]dev,IOC Domain
tradingview-ai[.]dev,IOC Domain
tradingviewbeta[.]dev,IOC Domain
tradingview-beta[.]dev,IOC Domain
tradingviewdev[.]com,IOC Domain
tradingviewindicator[.]dev,IOC Domain
tradingviewtool[.]com,IOC Domain
tradingviewtoolz[.]com,IOC Domain
tradingviewtradingview[.]dev,IOC Domain
updatebeta[.]app,IOC Domain
185.209.21[.]241,IOC IP
91.211.249[.]44,IOC IP
95.215.204[.]156,IOC IP
91.211.249[.]44,IOC IP
194.26.232[.]180,IOC IP
170.130.55[.]203,IOC IP
212.86.115[.]52,IOC IP
431b0b19239fc5e0eeaee70cd6e807868142e8cd0b2b6b1bd4a7a2cc8eb57d15,Malware hash
ab8fdde9fb9b88c400c737d460dcbf559648dc2768981bdd68f55e1f98292c2a,Malware hash
b2daa2b5afb389828e088ec8b27c0636bdad94b2ef71dcf8034ee601cb60d8d6,Malware hash
58874c0dc26a78cdc058f84af9967f31b3c43173edc7515fa400e6ef8386205f,Malware hash
b258de3b7ef42b4f4bfb0fb5ffe7c55df6aef01cc591abe34a70d1ff82130cd5,Malware hash
e9fe19455642673b14c77d18a1e7ed925f23906bf11237dfafd7fb2cba1f666d,Malware hash
1a128f6748d71d02c72ba51268be181143405830a4e48dfa53bf3d6ed3391211,Malware hash
89043d2817d1bb4cb57ed939823dca0af9ae412655a6c75c694cb13d088efe5a,Malware hash
8ffacc942d1c3f45e797369a1f4cbd5dcd84372abf979b06220236d5a5cea649,Malware hash
b3e879b5952988fb0c656240365db8f01198f9d83cd2a3ec0e2a8ee172e20a11,Malware hash
c6907acabf2edf0be959c64a434e101963f7c18dcf79f116e0ce6b5ced5dd08c,Malware hash
07576e1db7e7bd0f7d2c54b6749fdd73c72dba8c2ba8ab110b305cfc10c93c80,Malware hash
80b274871e5024dfa9e513219fe3df82cc8fe4255010bd5d04d23d5833962c10,Malware hash
d7fadf7ef45c475bd9a759a771d99ccf95edfa8a0c101ce2439a07b66c2e5c72,Malware hash
f9a241a768397efb4b43924fbd32186fcb1c88716fff3085d3ddcdd322d3404f,Malware hash
