Layer,Wallet Address,Role,Transactions,Notes
L1,bc1qqu75xepdcu377lr696tk8p7g807yxr5z0hagmn,Central Funder,6,Holds 0.008 BTC
L2,bc1qw320zaufzvkdrww77y2954csa4a2c8vu35m4ru,Scam Wallet 1,12,elonairdrop2025[.]live
L2,1muskDgU9ZVSYBbyp52iwp5ksugscMfYv,Scam Wallet 2,5,"usaevent[.]live, vanity"
L3,bc1qp4v9mjshuha74uc0n7t0fxpr4ekfvjh0m47jwc,Convergence Drain,229,Active since May 2024
L3,bc1q295gmvj75d8tq2525pdnlgxn7ncdhk7pa4zv8y,Drain 2,106,
L3,15aeJcFdBD2K6HDe2uNXHEnRVvwFMbmP3e,Bridge,68,Cross-links both chains
L3,bc1qd45nxt6z7kyccqeqaxsakew7mpdnnfft92petm,Musk Drain,14,
L3,3Lpvprn5sY9UHXb5rrCHzvbHnJQaKeiiid,Small Drain A,2,Sends to ChangeNow
L4,1LcwJNoSCipiTF8YKaeHgrCr8EYYh1csXP,Major Aggregator,434,
L4,bc1qjt5l7759tfkuuzh3cmzwr8k4u9zstcmly3mh4k,Batch Intermediary,169,
L4,bc1qewpvchs5dtrx3q83fsxcnqqv8cq5sceqq5jvfr,Batch Intermediary,89,
L4,bc1qz6g7mds300sj3rkjh0hcjhjzp7cxp44usdutw9,Batch Intermediary,13,
L4,16mJhtpeyctWvB8Y4oe8taTReWDiQ4KuAw,Aggregation,"1,276",Sends to 1 address only
L4,1FqyP72qmBn1nuyfqQH8z8Jk5X3My6XnWU,Intermediary,377,
L4,1Bc9ravBLjicuq65Da4m1o8JnNCc3Lcfw4,Intermediary,82,
L4,1F41nDw29xFPG75cu29jVFB5rMoju7rJKK,Intermediary,"1,027",
L4,bc1q0qc892zd6pu3ptq7cj95ynnxnc0r07ae8mzfa6,Prior Scam Node,723,Predates current campaign
L4,3M5M9cpkzNcnNQT2fPFrTFdM7vkK6WYtgJ,Bridge Output,2,Sends to ChangeNow
,,,,
Terminal Destinations (Suspected Mixing/Obfuscation Services),,,,
,,,,
Address,Txs,Type,OSINT,
1GrwDkr33gT6LuumniYjKEGjTLhsL5kmqC,"423,627",Mixer/OTC,"Fraud x36, Kraken/Luno interaction",
1FWQiwK27EnGXb6BiBMRLJvunJQZZPMcGd,"916,875",Mixer/OTC,"Fraud x15, pig butchering associations",
37jdMXYbvg3dKzJ4pGSYiABiXoBy4putZq,"292,206",Suspected ChangeNow.io,Decode Cybercrime attribution,
bc1qus9vl6gs00rk5828feyehrsuc3ujhe9z36ykmz,"18,507",Unknown service,Fraud-flagged,
bc1q4llkz8qld4sk99jfazvnlmdszr0unm9uuy0puk,"39,422",Unknown service,"Fraud-flagged, Kraken interaction",
,,,,
Trackers:,,,,
,,,,
Google:,,,,
G-NK9V3KPEY4,,,,
G-YSMK4G52CC,,,,
G-5Z0ZNNED69,,,,
GTM-PL3G78C,,,,
G-R1QQ1Z50QZ,,,,
G-WRPVL3G32L,,,,
269367857,,,,
Matomo:,,,,
hxxps://x2025.matomo[.]cloud/,,,,
https://25elon.matomo[.]cloud/,,,,
Hotjar: 4997593,,,,
Statscounter Security: f1980b9f,,,,
Emails:,,,,
,,,,
seunexseun[@]gmail[.]com,,,,
juliambaldwin777[@]gmail[.]com,,,,
ddogenews3[@]gmail[.]com,,,,
